Parameter,,Unit,Value,Comment
PDSCH parameters,,,DL Reference Measurement Channel R.0 FDD,As specified in clause A.3.1.1.1
PCFICH/PDCCH/PHICH parameters,,,DL Reference Measurement Channel R.6 FDD,As specified in clause A.3.1.2.1
Initial conditions,Active cell,,Cell 1,Cell 1 is on RF channel number 1
,Neighbouring cell,,Cell 2,Cell 2 is on RF channel number 2
Final condition,Active cell,,Cell 2,
E-UTRA RF channel number,,,"1, 2",Two FDD carriers are used
Channel Bandwidth (BWchannel),,MHz,10,
DRX,,,OFF,Non-DRX test
PRACH configuration,,,4,As specified in table 5.7.1-2 in TS 36.211
Access Barring Information,,-,Not sent,No additional delays in random access procedure
Time offset between cells,,,3 ms,Asynchronous cells
T1,,s,5,
T2,,s,1,
