Parameter,,Unit,Value,Comment
PDSCH parameters,,,DL Reference Measurement Channel R.0 FDD,As specified in clause A.3.1.1.1
PCFICH/PDCCH/PHICH parameters,,,DL Reference Measurement Channel R.6 FDD,As specified in clause A.3.1.2.1
Initial conditions,Active cell,,Cell 1,
,Neighbouring cell,,Cell 2,
Final condition,Active cell,,Cell 2,
E-UTRA RF Channel Number,,,1,Only one FDD carrier frequency is used.
Channel Bandwidth (BWchannel),,MHz,10,
A3-Offset,,dB,0,
Hysteresis,,dB,0,
Time To Trigger,,s,0,
Filter coefficient,,,0,L3 filtering is not used
ul-SchedInterval-r14,,,sf10,As specified in section 6.3.4 in TS 36.331
ul-StartSubframe-r14,,,0,As specified in section 6.3.4 in TS 36.331
DRX,,,,OFF
CP length,,,Normal,
Time offset between cells,,,3 ms,Asynchronous cells
T1,,s,5,
T2,,s,5,
T3,,s,1,
