Parameter,Unit,Cell 1,,
,,T1,T2,T3
E-UTRA RF Channel number,,1,,
BWchannel,MHz,10,,
OCNG Patterns defined in A.3.2.1.2 (OP.2 FDD),,OP.2 FDD,,
PBCH_RA,dB,0,,
PBCH_RB,dB,,,
PSS_RA,dB,,,
SSS_RA,dB,,,
PCFICH_RB,dB,,,
PHICH_RA,dB,,,
PHICH_RB,dB,,,
PDCCH_RA,dB,,,
PDCCH_RB,dB,,,
PDSCH_RA,dB,,,
PDSCH_RB,dB,,,
OCNG_RANote 1,dB,,,
OCNG_RBNote 1,dB,,,
Qqualmin for UTRA neighbour cell,dB,-20,,
Qrxlevmin for UTRA neighbour cell,dBm,-115,,
Qrxlevmin,dBm,-140,,
,dBm/15 kHz,-98,,
RSRP,dBm/15 KHz,-84,-84,-84
,dB,14,14,14
,dB,14,14,14
TreselectionEUTRAN,S,0,,
Snonintrasearch,dB,50,,
"Threshx, high (Note 2)",dB,40,,
Propagation Condition,,AWGN,,
"Note 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:This refers to the value of  Threshx, high  which is included in E-UTRA system information, and is a threshold for the UTRA target cell",,,,
