Parameter,Unit,Cell 1,
,,T1,T2
E-UTRA RF Channel number,,1,
BWchannel,MHz,10,
OCNG Patterns defined in A.3.2.2.2 (OP.2 TDD),,OP.2 TDD,
PBCH_RA,dB,0,
PBCH_RB,dB,,
PSS_RA,dB,,
SSS_RA,dB,,
PCFICH_RB,dB,,
PHICH_RA,dB,,
PHICH_RB,dB,,
PDCCH_RA,dB,,
PDCCH_RB,dB,,
PDSCH_RA,dB,,
PDSCH_RB,dB,,
OCNG_RANote 1,dB,,
OCNG_RBNote 1,dB,,
Note 2,dBm/15 kHz,-98,
RSRP Note 3,dBm/15 KHz,-89,-102
,dB,9,-4
,dB,9,-4
TreselectionEUTRAN,S,0,
Snonintrasearch,dB,Not sent,
cellReselectionPriority,-,1,
Qrxlevmin,dBm,-140,
Qrxlevminoffset,dB,0,
Pcompensation,dB,0,
SServingCell,dB,51,38
"Threshserving, low",dB,44,
Propagation Condition,,AWGN,
Note 1: CNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Iterference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 3: SRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,
