Parameter,,Unit,Value,,Comment
,,,Test 1,Test 2,
NB-IOT operational mode,,,In-band,,
Initial condition,Active cell,,nCell1,,
,Neighbour cells,,"eCell1, nCell2",,
T2 end condition,Active cell,,nCell2,,
,Neighbour cells,,"eCell1, nCell1",,
Final condition,Visited cell,,nCell1,,
E-UTRA RF Channel Number,,,1,,One carrier frequency is used for eCell.
Access Barring Information,,-,Not Sent,,No additional delays in random access procedure.
Special subframe configuration,,,6,,As specified in table 4.2-1 in TS 36.211 [16]
Uplink-downlink configuration,,,1,,As specified in table 4.2-2 in TS 36.211 [16]
NPRACH Configuration,,,NPRACH.R-2,,Refer to A.3.18
DRX cycle length,,s,0.32,0.64,The value shall be used for all cells in the test.
T1,,s,>7,,"During T1, nCell2 shall be powered off, and during the off time the physical cell identity shall be changed. The intention is to ensure that nCell2 has not been detected by the UE prior to the start of period T2"
T2,,s,35,38,T2 is defined so that cell re-selection time is taken into account.
T3,,s,19,,T3 is defined so that cell re-selection time is taken into account.
