Parameter,Unit,Cell 2 (UTRA),,,,
Timeslot Number,,0,,DwPTS,,
,,T1,T2,T1,T2,
UTRA RF Channel NumberNote1,,Channel 2,,,,
PCCPCH_Ec/Ior,dB,-3,,,,
DwPCH_Ec/Ior,dB,,,0,,
OCNS_Ec/Ior,dB,-3,,,,
,dB,-infinity,13,-infinity,13,
,dBm/1.28 MHz,-80,,,,
PCCPCH RSCP,dBm,-infinity,-70,n.a.,,
Propagation Condition,,AWGN,,,,
"Note1:In the case of multi-frequency cell, the UTRA RF Channel Number is the primary frequency’s channel number.Note2:P-CCPCH RSCP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.",,,,,,
