Parameter,Unit,Value,Comments,
E-UTRA RF Channel Number,,1,,
BWchannel,MHz,10,,
OCNG Pattern Note 1,,OP.21 FDD,As defined in  A.3.2.1.21.,
PDSCH parameters Note 2,,R.12 HD-FDD,As defined in A.3.1.4.5,
MPDCCH parameters Note 2,,R.8 HD-FDD,As defined in A.3.1.3.5,
PCFICH/PDCCH/PHICHparameters,,DL Reference Measurement Channel R.3 HD-FDD,As defined in A.3.1.2.3,
PBCH_RA,dB,0,,
PBCH_RB,dB,,,
PSS_RA,dB,,,
SSS_RA,dB,,,
PCFICH_RB,dB,,,
PHICH_RA,dB,,,
PHICH_RB,dB,,,
PDCCH_RA,dB,,,
PDCCH_RB,dB,,,
MPDCCH_RA,dB,,,
MPDCCH_RB,dB,,,
PDSCH_RA,dB,,,
PDSCH_RB,dB,,,
OCNG_RA Note 1,dB,,,
OCNG_RB Note 1,dB,,,
,dBm/15 KHz,-98,,
,dB,-12,,
Note 3,dB,-12,,
RSRP Note 3,dBm/15 KHz,-110,,
Io Note 3,dBm/9 MHz,-70,,
Propagation Condition,-,AWGN,,
"Note 1:OCNG shall be used such that the cell is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols. The OCNG pattern is chosen during the test according to the presence of a DL reference measurement channel.Note 2:The PDSCH and MPDCCH reference measurement channels are used in the test only when a downlink transmission dedicated to the UE under test is required.Note 3:Es/Iot, RSRP and Io level has been derived from other parameters for information purpose. They are not settable parameters themselves.",,,,
