Parameter,,Unit,Value,Comment
PDSCH parameters,,,DL Reference Measurement Channel R.0 TDD,As specified in clause A.3.1.1.2
PCFICH/PDCCH/PHICH parameters,,,DL Reference Measurement Channel R.6 TDD,As specified in clause A.3.1.2.2
Initial conditions,Active cell,,Cell 1,E-UTRA TDD cell
,Neighbour cell,,Cell 2,UTRA 1.28Mcps TDD Cell
Final conditions,Active cell,,Cell 2,
Gap Pattern Id,,,0,As specified in TS 36.133 clause 8.1.2.1.
Uplink-downlink configuration of cell 1,,,1,As specified in table 4.2.2 in TS 36.211
Special subframe configuration of cell 1,,,6,As specified in table 4.2.1 in TS 36.211
CP length of cell 1,,,Normal,
Time offset between cells,,,3 ms,Asynchronous cells
Access Barring Information,,,Not Sent,No additional delays in random access procedure.
Assigned Sub-Channel Number,,,1,No additional delays in random access procedure due to ASC.
Hysteresis,,dB,0,
Time To Trigger,,s,0,
Filter coefficient,,,0,L3 filtering is not used
DRX,,,OFF,
Ofn,,dB,0,
Thresh1,,dBm,-93,E-UTRA event B2 threshold
Thresh2,,dBm,-80,UTRA event B2 threshold
T1,,s,5,
T2,,s,10,
T3,,s,1,
