Parameter,,Unit,Value,Comment
T0,Active cell,,Cell1,"T0 is repeated on each repetition of the test. In T0 the test equipment selects frequencies for cell 2, 3 and then time is allowed for the UE to identify the neighbour cells. See cell specific parameters for detailed settings."
T1 start condition,Active cell,,Cell 1,
T1 end condition,Active cell,,Cell2,UE shall perform reselection to cell 2 during T1
,Neighbour cell,,Cell1,
T2 end condition,Active cell,,Cell1,UE shall perform reselection to cell 1 during T2
T3 end condition,Active cell,,Cell3,UE shall perform reselection to cell 3 during T3
,Neighbour cell,,Cell1,
T4 end condition,Active cell,,Cell1,UE shall perform reselection to cell 1 in T4 so that next repetition of test can start from T0
UE configured UTRA RF Channel Number,,,"1, 2, 3, 4, 5, 6, 7","Seven UTRA TDD carrier frequencies are used in the UE neighbour cell list. Frequencies 4, 5, 6,  and 7 are indicated to have reduced performance"
Test eqipment configuration,,,"Cell 1, 2, 3","Cell 1 uses E-UTRA RF channel number 1Cells 2 is randomly selected to use different frequencies selected from UTRA frequencies 1, 2, 3.Cells 3 is randomly selected to use different frequencies selected from UTRA frequencies 4, 5, 6, 7."
CP length of cell 1,,,normal,
PRACH configuration,,,4,As specified in table 5.7.1-2 in TS 36.211 [16]
Access Barring Information,,-,Not Sent,No additional delays in random access procedure.
Treselection,,s,0,
HCS,,,Not used,
DRX cycle length,,s,1.28,The value shall be used for all cells in the test.
T0,,s,(Test equipment frequency selection and configuration time) + 960,"T0 is defined so that the Test equipment selects frequencies and configures the cells, then the UE cell detection time is taken into account."
T1,,s,60,T1 need to be defined so that cell re-selection reaction time is taken into account.
T2,,s,25,T2 need to be defined so that cell re-selection reaction time is taken into account
T3,,s,500,T3 need to be defined so that cell re-selection reaction time is taken into account.
T4,,s,25,T4 need to be defined so that cell re-selection reaction time is taken into account
