Parameter,,Unit,Value,Comment
PDSCH parameters,,,DL Reference Measurement Channel R.0 TDD,As specified in clause A.3.1.1.2
PCFICH/PDCCH/PHICH parameters,,,DL Reference Measurement Channel R.6 TDD,As specified in clause A.3.1.2.2
Gap Pattern Id,,,1,As specified in TS 36.133 clause 8.1.2.1.
Initial conditions,Active cell,,Cell 1,
,Neighbour cell,,Cell 2,
Final conditions,Active cell,,Cell 2,
Uplink-downlink configuration of cell 1,,,1,As specified in table 4.2.2 in TS 36.211
Special subframe configuration of cell 1,,,6,As specified in table 4.2.1 in TS 36.211
CP length of cell 1,,,Normal,
Inter-RAT measurement quantity,,,GSM Carrier RSSI,
E-UTRA RF Channel Number,,,1,E-UTRA RF Channel Number
E-UTRA Channel Bandwidth (BWchannel),,MHz,10,E-UTRA Channel Bandwidth (BWchannel)
Threshold other system,,dBm,-80,Absolute GSM carrier RSSI threshold for event B1.
Hysteresis,,dB,0,
Time to Trigger,,ms,0,
Filter coefficient,,,0,L3 filtering is not used
DRX,,,OFF,
T1,,s,20,
T2,,s,7,
T3,,s,1,
