Parameter,,Unit,Value,Comment
Initial condition,Active cell,,Cell 1,E-UTRAN TDD cell
,Neighbour cell,,Cell 2,HRPD cell
Final condition,Active cell,,Cell 2,HRPD cell is selecting during T2
Uplink-downlink configuration of cell 1,,,1,As specified in table 4.2.2 in TS 36.211
Special subframe configuration of cell 1,,,6,As specified in table 4.2.1 in TS 36.211
CP length of cell 1,,,Normal,
DRX cycle length,,s,1.28,
E-UTRA TDD RF Channel Number,,,1,Only one TDD carrier frequency is used.
E-UTRA TDD Channel Bandwidth (BWchannel),,MHz,10,
HRPD RF Channel Number,,,1,Only one HRPD carrier frequency is used.
E-UTRA TDD PRACH configuration of cell 1,,,53,As specified in table 4.7.1-3 in TS 36.211
E_UTRA TDD Access Barring Information,,-,Not Sent,No additional delays in random access procedure.
T1,,s,30,
T2,,s,30,
