Parameter,,Unit,Value,Comment
Initial conditions,Active cell,,Cell 1,
,Neighbouring cell,,Cell 2,
Final condition,Active cell,,Cell 2,
E-UTRA RF Channel Number (cell 1),,,1,Only one FDD carrier frequency is used.
E-UTRA RF Channel Number (cell 2),,,2,
E-UTRA FDD inter-frequency carrier list size,,,1,2 E-UTRA FDD carrier frequencies in total: 1 intra-frequency and 1 inter-frequency
Channel Bandwidth (BWchannel),,MHz,10,
PRACH Configuration,,,PRACH_2CE,As specified in A.3.16
N310,,-,1,Maximum consecutive out-of-sync indications from lower layers
N311,,-,1,Minimum consecutive in-sync indications from lower layers
T310,,ms,0,Radio link failure timer; T310 is disabled
T311,,ms,3000,RRC re-establishment timer
DRX,,,OFF,
CP length,,,Normal,
Access Barring Information,,-,Not Sent,No additional delays in random access procedure.
PRACH configuration index,,,4,As specified in table 5.7.1-2 in TS 36.211
Time offset between cells,,ms,3,Asynchronous cells
T1,,s,5,
T2,,ms,400,
T3,,s,3,
