Parameter,,Unit,Value,Comment
PDSCH parameters,,,DL Reference Measurement Channel R.0 TDD,As specified in clause A.3.1.1.2
PCFICH/PDCCH/PHICH parameters,,,DL Reference Measurement Channel R.6 TDD,As specified in clause A.3.1.2.2
Gap Pattern Id,,,1,As specified in TS 36.133 clause 8.1.2.1.
Initial conditions,Active cell,,Cell 1,
,Neighbour cell,,Cell 2,
Final conditions,Active cell,,Cell 2,
E-UTRA RF channel number,,,"1, 2",Two TDD carriers are used
Channel Bandwidth (BWchannel),,MHz,10,
A3-Offset,,dB,-4,
Hysteresis,,dB,0,
Time to Trigger,,ms,0,
Filter coefficient,,,0,
DRX,,,DRX_L,As specified in clause A.3.3
CP length,,,Normal,
Access Barring Information,,-,Not Sent,No additional delays in random access procedure.
Special subframe configuration,,,6,As specified in table 4.2-1 in TS 36.211
Uplink-downlink configuration,,,1,As specified in table 4.2-2 in TS 36.211
PRACH configuration,,,53,As specified in table 5.7.1-3 in TS 36.211
Time offset between cells,,,3 s,Synchronous cells
T1,,s,5,
T2,,s,5,
T3,,s,1,
