Parameter,,Unit,Value,Comment
Initial conditions,Active cell,,Cell 1,
,Neighbouring cell,,Cell 2,
Final condition,Active cell,,Cell 2,
E-UTRA RF Channel Number (cell 1),,,1,Only one FDD carrier frequency is used.
E-UTRA RF Channel Number (cell 2),,,2,
E-UTRA FDD inter-frequency carrier list size,,,1,2 E-UTRA FDD carrier frequencies in total: 1 intra-frequency and 1 inter-frequency
Channel Bandwidth (BWchannel),,MHz,10,
PRACH Configuration,,,PRACH_3CE,As specified in A.3.16
N310,,-,1,Maximum consecutive out-of-sync indications from lower layers
N311,,-,1,Minimum consecutive in-sync indications from lower layers
T310,,ms,0,Radio link failure timer; T310 is disabled
T311,,ms,3000,RRC re-establishment timer
DRX,,,OFF,
CP length,,,Normal,
Access Barring Information,,-,Not Sent,No additional delays in random access procedure.
Special subframe configuration,,,6,As specified in table 4.2-1 in TS 36.211
Uplink-downlink configuration,,,1,As specified in table 4.2-2 in TS 36.211
PRACH configuration index,,,53,As specified in table 5.7.1-3 in TS 36.211
T1,,s,5,
T2,,s,5,
T3,,s,400,
T4,,s,9,
