Parameter,,Unit,Value,Comment
PDSCH parameters,,,DL Reference Measurement Channel R.0 FDD,As specified in clause A.3.1.1.1
PCFICH/PDCCH/PHICH parameters,,,DL Reference Measurement Channel R.6 FDD,As specified in clause A.3.1.2.1
Initial conditions,Active cell,,Cell 1,E-UTRAN cell
,Neighbouring cell,,Cell 2,UTRAN cell
Final condition,Active cell,,Cell 2,UTRAN cell
Channel Bandwidth (BWchannel),,MHz,10,
Gap Pattern Id,,,0,As specified in Table 8.1.2.1-1 started before T2 starts
E-UTRAN FDD measurement quantity,,,RSRP,
Inter-RAT (UTRAN FDD) measurement quantity,,,CPICH Ec/N0,
b2-Threshold1,,dBm,-90,Absolute E-UTRAN RSRP threshold for event B2
b2-Threshold2-UTRA,,dB,-18,Absolute UTRAN CPICH Ec/Io threshold for event B2
Hysteresis,,dB,0,
TimeToTrigger,,s,0,
Filter coefficient,,,0,L3 filtering is not used
DRX,,,OFF,Non-DRX test
Access Barring Information,,-,Not sent,No additional delays in random access procedure
E-UTRA RF Channel Number,,,1,One E-UTRA FDD carrier frequency is used.
E-UTRA Channel Bandwidth (BWchannel),,MHz,10,
UTRA RF Channel Number,,,1,One UTRA FDD carrier frequency is used.
Monitored UTRA FDD cell list size,,,12,UTRA cells on UTRA RF channel 1 provided in the cell before T2.
Post-verification period,,,False,
T1,,s,5,
T2,,s,5,
T3,,s,1,
