Parameter,Unit,Value,Comments,
NB-IOT operational mode,,In-band,,
BWchannel,kHz,200,,
Anchor PRB location within eCell,-,eCell1 BWchannel 5MHz: 17eCell1 BWchannel 10MHz: 30,,
Non-anchor PRB location within eCell,,eCell1 BWchannel 5MHz: 18eCell1 BWchannel 10MHz: 31,,
NPDSCH parameters Note 2,,eCell1 BWchannel 5MHz: R.17 HD-FDDeCell1 BWchannel 10MHz: R.15 HD-FDD,As defined in A.3.1.5.1,
NPDCCH parameters Note 2,,eCell1 BWchannel 5MHz: R.39 HD-FDDeCell1 BWchannel 10MHz: R.27 HD-FDD,As defined in A.3.1.6.1,
NPBCH_RA,dB,-3,,
NPBCH_RB,dB,,,
NPSS_RA,dB,,,
NSSS_RA,dB,,,
NPDCCH_RA,dB,,,
NPDCCH_RB,dB,,,
NPDSCH_RA,dB,,,
NPDSCH_RB,dB,,,
NOCNG_RA Note 1,dB,,,
NOCNG_RB Note 1,dB,,,
DRX,,OFF,,
,dBm/15 kHz,Specified in Table A.6.2.18.1-2,,
,dB,-12.5,,
Note 3,dB,-12.5,,
NRSRP Note 3,dBm/15 kHz,-110.5,,
Io Note 3,dBm/180 KHz,-86.97,,
Propagation Condition,-,AWGN,,
Antenna Configuration,,2x1,,
"Note 1:NOCNG shall be used such that the cell is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols. The OCNG pattern is chosen during the test according to the presence of a DL reference measurement channel.Note 2:The NPDSCH and NPDCCH reference measurement channels are used in the test only when a downlink transmission dedicated to the UE under test is required.Note 3:Es/Iot, NRSRP and Io level has been derived from other parameters for information purpose. They are not settable parameters themselves.",,,,
