,Unit,R.9 FDD
Bandwidth,MHz,10
Number of transmit antennas,,1
Allocated resource blocks(Note 4),,24
Allocated subframes per Radio Frame,,10
Modulation,,QPSK
Target coding rate,,1/3
Information Bit Payload,,
"For Sub-Frame 4, 9",,
Subslot index 1,Bits,504
Subslot index 2,Bits,344
Subslot index 3,Bits,344
Subslot index 4,Bits,344
Subslot index 5,Bits,504
For Sub-Frame 5,,
Subslot index 1,Bits,504
Subslot index 2,Bits,288
Subslot index 3,Bits,344
Subslot index 4,Bits,344
Subslot index 5,Bits,504
For Sub-Frame 0,,
Subslot index 1,Bits,504
Subslot index 2,Bits,288
Subslot index 3,Bits,224
Subslot index 4,Bits,288
Subslot index 5,,504
"For Sub-Frame 1, 2, 3, 6, 7, 8",,
Subslot index 1,Bits,0
Subslot index 2,Bits,0
Subslot index 3,Bits,0
Subslot index 4,Bits,0
Subslot index 5,Bits,0
Number of Code Blocks per Sub-Frame(Note 5),,
"For Sub-Frame 4, 9",,
Subslot index 1,,1
Subslot index 2,,1
Subslot index 3,,1
Subslot index 4,,1
Subslot index 5,,1
For Sub-Frame 5,,
Subslot index 1,,1
Subslot index 2,,1
Subslot index 3,,1
Subslot index 4,,1
Subslot index 5,,1
For Sub-Frame 0,,
Subslot index 1,,1
Subslot index 2,,1
Subslot index 3,,1
Subslot index 4,,1
Subslot index 5,,1
"For Sub-Frame 1, 2, 3, 6, 7, 8",,
Subslot index 1,,0
Subslot index 2,,0
Subslot index 3,,0
Subslot index 4,,0
Subslot index 5,,0
Binary Channel Bits per subslot,,
"For Sub-Frame 4, 9",Bits,
Subslot index 1,Bits,1632
Subslot index 2,Bits,1152
Subslot index 3,Bits,1056
Subslot index 4,Bits,1152
Subslot index 5,Bits,1632
For Sub-Frame 5,Bits,
Subslot index 1,Bits,1632
Subslot index 2,Bits,864
Subslot index 3,Bits,1056
Subslot index 4,Bits,1152
Subslot index 5,Bits,1632
For Sub-Frame 0,Bits,
Subslot index 1,Bits,1632
Subslot index 2,Bits,864
Subslot index 3,Bits,792
Subslot index 4,Bits,864
Subslot index 5,Bits,1632
"For Sub-Frame 1, 2, 3, 6, 7, 8",Bits,
Subslot index 1,Bits,0
Subslot index 2,Bits,0
Subslot index 3,Bits,0
Subslot index 4,Bits,0
Subslot index 5,Bits,0
Max. Throughput averaged over 1 frame,kbps,787.2
"Note 1:2 symbols allocated to PDCCH for 10 MHz channel BW. 4 symbols allocated to PDCCH for 1.4 MHz channel BW. 3 OFDM symbols allocated to PDCCH for 5 MHz channel BW.Note 2:Reference signal, synchronization signals and PBCH allocated as defined in 3GPP TS 36.211 [16].Note 3:If necessary the information bit payload size can be adjusted to facilitate the test implementation. The payload sizes are defined in 3GPP TS 36.213 [3].Note 4:Allocation is located in the middle of bandwidth.Note 5:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit)Note 6:PDSCH allocation applies only to subframes not configured as PRS subframes.Note 7:Note SPDCCH is transmitted outside allocated resource blocks",,
