Parameter,Unit,Cell 1,
,,T1,T2
E-UTRA RF Channel number,,1,
BWchannel,MHz,10,
OCNG Patterns defined in A.3.2.1.2 (OP.2 FDD),,OP.2 FDD,
PBCH_RA,dB,0,
PBCH_RB,dB,,
PSS_RA,dB,,
SSS_RA,dB,,
PCFICH_RB,dB,,
PHICH_RA,dB,,
PHICH_RB,dB,,
PDCCH_RA,dB,,
PDCCH_RB,dB,,
PDSCH_RA,dB,,
PDSCH_RB,dB,,
OCNG_RANote 1,dB,,
OCNG_RBNote 1,dB,,
,dBm/15 kHz,-98,
RSRP,dBm/15 KHz,-89,-102
,dB,9,-4
,dB,9,-4
TreselectionEUTRAN,S,0,
Snonintrasearch,dB,Not sent,
cellReselectionPriority,-,1,
Qrxlevmin,dBm,-140,
Qrxlevminoffset,dB,0,
Pcompensation,dB,0,
SServingCell,dB,51,38
"Threshserving, low",dB,44,
Propagation Condition,,AWGN,
Note 1: OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.,,,
