Parameter,,Unit,Value,Comment
PDSCH parameters,,,DL Reference Measurement Channel R.0 TDD,As specified in clause A.3.1.1.2
PCFICH/PDCCH/PHICH parameters,,,DL Reference Measurement Channel R.6 TDD,As specified in clause A.3.1.2.2
Initial conditions,Active cell,,Cell 1,E-UTRAN TDD cell
,Neighbour cell,,Cell 2,UTRA 1.28Mcps TDD cell
Final conditions,Active cell,,Cell 2,UTRA 1.28Mcps TDD cell
CP length of cell 1,,,Normal,
Uplink-downlink configuration of cell 1,,,1,As specified in table 4.2.2 in TS 36.211
Special subframe configuration of cell 1,,,6,As specified in table 4.2.1 in TS 36.211
Time offset between cells,,,3 ms,Asynchronous cells
Access Barring Information,,,Not Sent,No additional delays in random access procedure.
Assigned Sub-Channel Number,,,1,No additional delays in random access procedure due to ASC.
TimeToTrigger,,s,0,
Filter coefficient,,,0,L3 filtering is not used
DRX,,,OFF,
T1,,s,5,"During T1, cell 2 shall be powered off, and during the off time the physical layer cell identity shall be changed."
T2,,s,1,
