Parameter,Unit,Cell 1 (E-UTRAN FDD),
,,T1,T2
E-UTRA RF Channel number,,1,
BWchannel,MHz,10,
OCNG Patterns defined in A.3.2.1.1 (OP.1 FDD),,OP.1 FDD,
PBCH_RA,dB,0,
PBCH_RB,dB,,
PSS_RA,dB,,
SSS_RA,dB,,
PCFICH_RB,dB,,
PHICH_RA,dB,,
PHICH_RB,dB,,
PDCCH_RA,dB,,
PDCCH_RB,dB,,
PDSCH_RA,dB,,
PDSCH_RB,dB,,
OCNG_RA Note 1,dB,,
OCNG_RB Note 1,dB,,
Note 2,dBm/15 kHz,-98,
RSRP Note 3,dBm/15 kHz,-98,-98
,dB,0,0
,dB,0,0
Propagation Condition,,AWGN,
Note 1: OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2: Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 3: RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,
