Information Element,,,,Value(5MHz),Value(10MHz),
preconfigSync,syncCP-Len-r12,,,Normal,,
,syncOffsetIndicator1,,,2,,
,syncOffsetIndicator2,,,1,,
,syncTxParameters,,,31,,
,syncTxThreshOoC,,,0 (-110dBm / 15kHz),,
,filterCoefficient,,,fc0,,
,syncRefMinHyst,,,dB0,,
,syncRefDiffHyst,,,dB0,,
preconfigComm,sc-CP-Len,,,Normal,,
,sc-Period,,,sf40,,
,sc-TF-ResourceConfig,prb-Num,,12,25,
,,prb-Start,,0,0,
,,prb-End,,23,49,
,,offsetIndicator,,0,,
,,subframeBitmap,,0001100000000000000000000000000000000000,,
,data-CP-Len,,,Normal,,
,dataHoppingConfig,hoppingParameter,,0,,
,,numSubbands,,ns1,,
,,rb-Offset,,0,,
,ue-SelectedResourceConfig,data-TF-ResourceConfig,prb-Num,12,,25
,,,prb-Start,0,,0
,,,prb-End,23,,49
,,,offsetIndicator,0,,
,,,subframeBitmap,0000000011111111111111111111111111111111,,
,,trpt-Subset-r12,,001,,
