Parameter,,Unit,Value
Reference channel,,,CC.1
Channel bandwidth,,MHz,10
Allocated PSCCH resource blocks,,,2
DFT-OFDM symbols per subframe(see Note 1),,,9
Modulation,,,QPSK
Information Bit Payload (without CRC),,Bits,32
Information Bit,SCI Format,,1
,Priority,,As set by higher layers
,Resource reservation,,0
,Modulation and coding scheme,,Set as the PSSCH MCS specified in the test
,Retransmission index,,Note 4
,Time gap between initial transmission and retransmission,,0 (Note 2)
,Frequency resource location of the initial transmission and retransmission,,Initial transmission: Set as per PSSCH RB allocation specific in the testRetransmission: Note 4
,Reserved bits,,Set all these bits to 0
Transport block CRC,,Bits,16
Binary Channel Bits (see Note 3),,Bits,432
"Note 1:PSCCH transmissions are rate-matched for 10 DFT-OFDM symbols per subframe, and the last symbol shall be punctured as per TS 36.211.Note 2:SFgap is the value indicated by ""Time gap between initial transmission and retransmission"" field in the configured sidelink grant, and SFgap =0 means no retransmission of the associated TB as per TS 36.213.Note 3:Binary channel bits calculated under assumption of 9 DFT-OFDM symbols per subframe.Note 4:UE is allowed to autonomously select the un-used or redundant bits/code-points in SCI format 1",,,
