Parameter,,Unit,Value,Comment
NB-IOT operational mode,,,In-band,
Initial condition,Active cell,,nCell1,
,Neighbour cells,,"eCell1, nCell2",
Final condition,Active cell,,nCell2,
E-UTRA RF Channel Number,,,1,One carrier frequency is used for eCell.
Access Barring Information,,-,Not Sent,No additional delays in random access procedure.
Special subframe configuration,,,6,As specified in table 4.2-1 in TS 36.211 [16]
Uplink-downlink configuration,,,1,As specified in table 4.2-2 in TS 36.211 [16]
NPRACH Configuration,,,NPRACH.R-2,As specified in A.3.18
NPDCCH repetition level,,,16,The value shall be used for all cells in the test.
N310,,-,1,Maximum consecutive out-of-sync indications from lower layers
N311,,-,1,Minimum consecutive in-sync indications from lower layers
T310,,ms,0,Radio link failure timer; T310 is disabled
T311,,ms,15000,RRC re-establishment timer
DRX,,,OFF,
T1,,s,5,
T2,,ms,400,
T3,,s,15,
