Parameter,Unit,Cell 2,,,,
,,T1,T2,T3,T4,T5
E-UTRA RF Channel number,,2,,,,
BWchannel,MHz,10,,,,
OCNG Patterns defined in A.3.2.1.1 (OP.1 FDD) and in A.3.2.1.2 (OP.2  FDD),,OP.2 FDD,OP.2 FDD,OP.2 FDD,OP.2 FDD,OP.1 FDD
PBCH_RA,dB,0,,,,
PBCH_RB,dB,,,,,
PSS_RA,dB,,,,,
SSS_RA,dB,,,,,
PCFICH_RB,dB,,,,,
PHICH_RA,dB,,,,,
PHICH_RB,dB,,,,,
PDCCH_RA,dB,,,,,
PDCCH_RB,dB,,,,,
PDSCH_RA,dB,,,,,
PDSCH_RB,dB,,,,,
OCNG_RANote 1,dB,,,,,
OCNG_RBNote 1,dB,,,,,
,dB,-Infinity,7,7,7,7
Note 2,dBm/15 kHz,-98,,,,
,dB,-Infinity,7,7,7,7
RSRP Note 3,dBm/15 KHz,-Infinity,-91,-91,-91,-91
Propagation Condition,AWGN,,,,,
Note 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 3:RSRP levels have been derived from other parameters for information purposes. They are not settable parameter themselves.,,,,,,
