Parameter,,Unit,Value,Comment
Cell 1 PDSCH parameters,,,DL Reference Measurement Channel R.0 TDD,As specified in clause A.3.1.1.2
Cell 1 PCFICH/PDCCH/PHICH parameters,,,DL Reference Measurement Channel R.6 TDD,As specified in clause A.3.1.2.2
Cell 2 PDSCH parameters,,,DL Reference Measurement Channel R.0 FDD,As specified in clause A.3.1.1.1
Cell 2 PCFICH/PDCCH/PHICH parameters,,,DL Reference Measurement Channel R.6 FDD,As specified in clause A.3.1.2.1
Initial conditions,Active cell,,Cell 1,
,Neighbour cell,,Cell 2,
Final conditions,Active cell,,Cell 2,
Cell 1 E-UTRA RF channel number,,,1,One TDD carrier is used
Cell 2 E-UTRA RF channel number,,,2,One FDD carrier is used
Channel Bandwidth (BWchannel),,MHz,10,
A3-Offset,,dB,-4,
Hysteresis,,dB,0,
Time to Trigger,,ms,0,
Filter coefficient,,,0,
DRX,,,OFF,
CP length,,,Normal,
E-UTRA FDD PRACH configuration,,,4,As specified in table 5.7.1-2 in TS 36.211
E-UTRA FDD Access Barring Information,,-,Not sent,No additional delays in random access procedure
Gap pattern configuration Id,,,0,As specified in Table 8.1.2.1-1 started before T2 starts
Time offset between cells,,,33µs,Synchronous cells
T1,,s,5,
T2,,s,£5,
T3,,s,1,
T4,,ms,16,
T5,,ms,100,
