Parameter,Unit,Cell 1,,,Cell 2,,
,,T1,T2,T3,T1,T2,T3
E-UTRA RF Channel number,,1,,,2,,
BWchannel,MHz,10 for 10 MHz cell BW:5 for 5 MHz cell BW,,,10 for 10 MHz cell BW:5 for 5 MHz cell BW,,
OCNG Patterns defined in A.3.2.1.6,,OP.6 FDD for 10 MHz cell BW:OP.19 FDD for 5 MHz cell BW,,,OP.6 FDD for 10 MHz cell BW:OP.19 FDD for 5 MHz cell BW,,
PBCH_RA,dB,-3,,,-3,,
PBCH_RB,dB,,,,,,
PSS_RA,dB,,,,,,
SSS_RA,dB,,,,,,
MPDCCH_RA,dB,,,,,,
MPDCCH_RB,dB,,,,,,
PDSCH_RA,dB,,,,,,
PDSCH_RB,dB,,,,,,
OCNG_RANote 1,dB,,,,,,
OCNG_RBNote 1,dB,,,,,,
Qrxlevmin,dBm,-140,,,-140,,
Note 2,dBm/15 kHz,-98,,,-98,,
,dB,-5,-12,-5,-infinity,-5,-12
,dB,-5,-12,-5,-infinity,-5,-12
RSRP Note 3,dBm/15 KHz,-103,-110,-103,-infinity,-103,-110
TreselectionEUTRAN,s,0,,,0,,
Snonintrasearch,dB,Not sent,,,Not sent,,
Propagation Condition,,AWGN,,,AWGN,,
Antenna Configuration,,2x1,,,2x1,,
Timing offset to Cell 1,ms,-,,,3,,
Note 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 3:RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,,,,,
