Parameter,Unit,Value
Reference channel,,CD.1
Sidelink transmission mode,,4
Channel bandwidth,MHz,10
Allocated PSSCH resource blocks,,3
DFT-OFDM symbols per subframe (see Note 1),,9
Modulation,,QPSK
Target Code Rate,,1/3
Information Bit Payload (Transport block size),Bits,208
Transport block CRC,Bits,24
Number of PSSCH HARQ retransmissions,,0
Binary Channel Bits (see Note 2),Bits,648
"Note1:PSSCH transmissions are rate-matched for 10 DFT-OFDM symbols per subframe, and the last symbol shall be punctured as per TS 36.211.Note 2:Binary channel bits calculated under assumption of 9 DFT-OFDM symbols per subframe.",,
