Parameter,Unit,Cell 1,,
,,T1,T2,T3
E-UTRA RF Channel Number,,1,,
BWchannel,MHz,10,,
OCNG Pattern defined in A.3.2.2.1 (OP.1 TDD) and in A.3.2.1.2 (OP.2  TDD),,OP.1 TDD,,OP.2 TDD
PBCH_RA,dB,0,0,0
PBCH_RB,dB,,,
PSS_RA,dB,,,
SSS_RA,dB,,,
PCFICH_RB,dB,,,
PHICH_RA,dB,,,
PHICH_RB,dB,,,
PDCCH_RA,dB,,,
PDCCH_RB,dB,,,
PDSCH_RA,dB,,,
PDSCH_RB,dB,,,
OCNG_RANote 1,dB,,,
OCNG_RBNote 1,dB,,,
,dB,13,-3,-3
,dB,13,-3,-3
,dBm/15kHz,-98,,
RSRP Note 2,dBm/15kHz,-85,-101,-101
SCH_RP Note 2,dBm/15 kHz,-85,-101,-101
Io Note 2,dBm/9MHz,-57.01,-68.45,-68.45
Propagation Condition,,AWGN,,
"Note 1:OCNG shall be used such that cell is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:RSRP, SCH_RP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves",,,,
