Parameter,Unit,Value,
Reference channel,,CD.1 FDD,CD.2 FDD
Channel bandwidth,MHz,5,10
Allocated resource blocks,,2,3
Subcarriers per resource block,,12,12
DFT-OFDM Symbols per subframe(see Note 1),,11,11
Modulation,,QPSK,QPSK
Target Code Rate,,1/3,1/3
Information Bit Payload,,176,256
Transport block CRC,Bits,24,24
Maximum number of HARQ transmissions,,3,3
Binary Channel Bits (see note),Bits,528,1056
"Note1:PSDCH transmissions are rate-matched for 12 DFT-OFDM symbols per subframe, and the last symbol shall be punctured as per TS 36.211.",,,
