Parameter,Unit,Value,Comment
PDSCH parameters (E-UTRAN TDD),,DL Reference Measurement Channel R.0 TDD,As specified in clause A.3.1.1.2.
PCFICH/PDCCH/PHICH parameters (E-UTRAN TDD),,DL Reference Measurement Channel R.6 TDD,As specified in clause A.3.1.2.2.
Active cell,,Cell 1,Cell 1 is on E-UTRAN RF channel number 1.
Neighbour cell,,Cell 2,Cell 2 is on UTRAN RF channel number 1.
E-UTRAN RF Channel Number,,1,One E-UTRAN TDD carrier frequency is used.
E-UTRAN Channel Bandwidth (BWchannel),MHz,10,
Uplink-downlink configuration of cell 1,,1,As specified in table 4.2.2 in TS 36.211
Special subframe configuration of cell 1,,6,As specified in table 4.2.1 in TS 36.211
CP length,,Normal,Applicable to cell 1
UTRAN RF Channel Number,,1,One UTRAN TDD carrier frequency is used.
Filter coefficient,,0,L3 filtering is not used.
DRX,,OFF,
Monitored UTRAN FDD cell list size,,None,No explicit neighbour list is provided to the UE
T1,s,5,
T2,s,2,
