Parameter,,Unit,Value,Comment
NB-IOT operational mode,,,In-band,
Initial condition,Active cell,,nCell1,
,Neighbour cells,,"eCell1, eCell2, nCell2",
Final condition,Active cell,,nCell2,
E-UTRA RF Channel Number,,,1,One carrier frequency is used for eCell1 and eCell2.
Access Barring Information,,-,Not Sent,No additional delays in random access procedure.
Special subframe configuration,,,6,As specified in table 4.2-1 in TS 36.211 [16]
Uplink-downlink configuration,,,1,As specified in table 4.2-2 in TS 36.211 [16]
NPRACH Configuration,,,NPRACH.R-2,As specified in A.3.18
NPDCCH repetition level,,,16,NPDCCH Rmax
N310,,-,1,Maximum consecutive out-of-sync indications from lower layers
N311,,-,1,Minimum consecutive in-sync indications from lower layers
T310,,Ms,0,Radio link failure timer; T310 is disabled
T311-v13xy,,Ms,60000,RRC re-establishment timer
DRX,,,OFF,
T1,,S,5,
T2,,Ms,400,
T3,,S,60,
