Parameter,Unit,nCell 1,,nCell 2,,nCell 3
NB-IoT RF Channel Number,,1,,2,,2
NB-IoT Channel Bandwidth (BWchannel),KHz,200,,200,,200
OCNG Pattern Note 1,,NOP.3 FDD,,N/A,,N/A
NPDSCH parametersNote 2,,R.18 HD-FDD,,N/A,,N/A
NPDCCH parameters Note 2,,R.30 HD-FDD,,N/A,,N/A
NPBCH_RA,dB,0,,N/A,,N/A
NPBCH_RB,,,,,,
NPSS_RA,,,,,,
NSSS_RA,,,,,,
NPDCCH_RA,,,,,,
NPDCCH_RB,,,,,,
NPDSCH_RA,,,,,,
NPDSCH_RB,,,,,,
OCNG_RA Note 1,,,,,,
OCNG_RB Note 1,,,,,,
Note 3,dBm/15 kHz,-98,,,,
NPRS,dB,-Infinity,,-Infinity,,-Infinity
,dB,-2,,-Infinity,,-Infinity
Propagation Condition,,AWGN,,,,
Antenna Configuration,,1x1,,,,
Timing offset to nCell 1,s,N/A,1,,-1,
Note 1:OCNG shall be used such that the cell is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols. The OCNG pattern is chosen during the test according to the presence of a DL reference measurement channel.Note 2:The NPDSCH and NPDCCH reference measurement channels are used in the test only when a downlink transmission dedicated to the UE under test is required.Note 3:Interference from other cells and noise sources not specified in the test are assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.,,,,,,
