Field,Value,,,Comment,,
Parameters not per NPRACH coverage level,,,,,,
rsrp-ThresholdsPrach,"{rsrp1, rsrp2}",,,The values of NPRACH RSRP thresholds for will be set according the requirement of individual test cases,,
nprach-PreambleFormat,fmt-0,,,See TS 36.211 [16] section 10.1.6,,
Parameters per NPRACH coverage Level,,,,,,
CE Level,Level 0,Level 1,Level 2,,Valid values as defined in TS 36.331 [2],
nprach-Periodicity,ms80,ms80,ms80,,"{ms80, ms160, ms320, ms640, ms1280, ms2560, ms5120, ms10240}",
nprach-StartTime,ms10,ms10,ms10,,"{ms10, ms20, ms40, ms80, ms160, ms320, ms640, ms1280, ms 2560, ms5120}",
nprach-SubcarrierOffset,n0,n0,n0,,"{n0, n12, n24, n36, n2, n18, n34}",
nprach-NumSubcarriers,n12,n12,n12,,"{n12, n24, n36, n48}",
nprach-SubcarrierMSG3-RangeStart,{one},{one},{one},,"{zero, oneThird, twoThird, one}",
maxNumPreambleAttemptCE,n3,n5,n7,,"{n3, n4, n5, n6, n7, n8, n10}",
numRepetitionsPerPreambleAttempt,n1,n8,n32,,"{n1, n2, n4, n8, n16, n32, n64, n128, n256, n512, n1024}",
npdcch-NumRepetitions-RA,r1,r8,r32,,"{r1, r2, r4, r8, r16, r32, r64, r128, r256, r512, r1024, r2048}",
npdcch-StartSF-CSS-RA,v8,v4,v4,,"{v4, v8, v16, v32, v48, v64, v96, v128}",
npdcch-Offset-RA,zero,zero,zero,,"{zero, oneEighth, oneFourth, threeEighth}",
nprach-NumCBRA-StartSubcarriers,n8,n8,n8,,"{n8, n10, n11, n12, n20, n22, n23, n24, n32, n34, n35, n36, n40, n44, n48}",
Note 1:See Clause 6.7.3.2 in TS 36.331 [2] for further information on the parameters in this table.,,,,,,
