Parameter,Unit,Cell 1,,
,,T1,,T2
E-UTRA RF Channel number,,1,,
BWchannel,MHz,10,,
OCNG Patterns defined in A.3.2.2.2 (OP.2 TDD),,OP.2 TDD,,
PBCH_RA,dB,0,,
PBCH_RB,dB,,,
PSS_RA,dB,,,
SSS_RA,dB,,,
PCFICH_RB,dB,,,
PHICH_RA,dB,,,
PHICH_RB,dB,,,
PDCCH_RA,dB,,,
PDCCH_RB,dB,,,
PDSCH_RA,dB,,,
PDSCH_RB,dB,,,
OCNG_RANOTE 1,dB,,,
OCNG_RBNOTE 1,dB,,,
Qqualmin for UTRA neighbour cell,dB,-20,,
Qrxlevmin for UTRA neighbour cell,dBm,-115,,
Qrxlevmin,dBm,-140,,
,dBm/15 kHz,-98,,
RSRP,dBm/15 KHz,-86,-102,
,dB,12,-4,
,dB,12,-4,
TreselectionEUTRAN,s,0,,
Snonintrasearch,dB,Not sent,,
"Threshserving, low",dB,44,,
"Threshx, low  (NOTE 2)",dB,42,,
Propagation Condition,,AWGN,,
"NOTE 1: OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2 : This refers to the value of  Threshx, low  which is included in E-UTRA system information, and is a threshold for the UTRA target cell",,,,
