Parameter,,Unit,Value,Comment
Initial condition,Active cell,,Cell1,E-UTRAN cell
T1 end condition,Active cells,,Cell1,UE shall perform reselection to cell 1 during T1 for subsequent iterations of the test
,Neighbour cell,,Cell2,
T2 end condition,Active cell,,Cell2,UE shall perform reselection to cell 2 during T2
,Neighbour cell,,Cell1,
E-UTRA PRACH configuration,,,53,As specified in table 5.7.1-3 in TS 36.211
Uplink-downlink configuration of cell 1,,,1,As specified in table 4.2.2 in TS 36.211
Special subframe configuration of cell 1,,,6,As specified in table 4.2.1 in TS 36.211
E_UTRA Access Barring Information,,-,Not Sent,No additional delays in random access procedure.
DRX cycle length,,s,1.28,The value shall be used for all cells in the test.
T1,,s,85,T1 need to be defined so that cell re-selection reaction time is taken into account.
T2,,s,25,T2 need to be defined so that cell re-selection reaction time is taken into account.
