Parameter,Unit,Cell 1 (E-UTRA),,,,,,
,,T1,T2,,,T3,,
E-UTRA RF Channel number,,1,,,,,,
BWchannel,MHz,10,,,,,,
OCNG Patterns defined in A.3.2.1.1 (OP.1 FDD) and in A.3.2.1.2 (OP.2  FDD),,OP.1 FDD,,OP.1 FDD,,,OP.2FDD,
PBCH_RA,dB,0,,,,,,
PBCH_RB,dB,,,,,,,
PSS_RA,dB,,,,,,,
SSS_RA,dB,,,,,,,
PCFICH_RB,dB,,,,,,,
PHICH_RA,dB,,,,,,,
PHICH_RB,dB,,,,,,,
PDCCH_RA,dB,,,,,,,
PDCCH_RB,dB,,,,,,,
PDSCH_RA,dB,,,,,,,
PDSCH_RB,dB,,,,,,,
OCNG_RANote 1,dB,,,,,,,
OCNG_RBNote 1,dB,,,,,,,
,dB,0,,,0,,,0
,dBm/15 kHz,-98,,,,,,
,dB,0,,,0,,,0
RSRP Note 2,dBm/15 KHz,-98,,,-98,,,-98
Io Note 2,dBm/9 MHz,-67.21,,,-67.21,,,-67.21
Propagation Condition,,AWGN,,,,,,
Note 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,,,,,,
