Parameter,Unit,Cell 1,,,Cell 2,,,,,,
,,T1,T2,T3,T1,,,T2,,T3,
E-UTRA RF Channel Number,,1,,,1,,,,,,
BWchannel,MHz,10,,,10,,,,,,
PDSCH Reference Measurement Channel in clause A.3.1.1.2,,R.0 TDD,R.0 TDD,-,-,-,,,R.0 TDD,,
PCFICH/PDCCH/PHICH Reference Channel in clause A.3.1.2.2,,R.6 TDD,,,R.6 TDD,,,,,,
OCNG Patterns defined in A.3.2.2.1 and in A.3.2.2.2,,OP.1 TDD,OP.1 TDD,OP.2 TDD,OP.2 TDD,OP.2 TDD,,,OP.1 TDD,,
PBCH_RA,dB,0,,,0,,,,,,
PBCH_RB,dB,,,,,,,,,,
PSS_RA,dB,,,,,,,,,,
SSS_RA,dB,,,,,,,,,,
PCFICH_RB,dB,,,,,,,,,,
PHICH_RA,dB,,,,,,,,,,
PHICH_RB,dB,,,,,,,,,,
PDCCH_RA,dB,,,,,,,,,,
PDCCH_RB,dB,,,,,,,,,,
PDSCH_RA,dB,,,,,,,,,,
PDSCH_RB,dB,,,,,,,,,,
OCNG_RANote 1,dB,,,,,,,,,,
OCNG_RBNote 1,dB,,,,,,,,,,
Note 2,dBm/15 KHz,-98,,,,,,,,,
,dB,8,8,8,- Infinity,,12,,,,12
,dB,8,-4.27,-4.27,-Infinity,,3.36,,,,3.36
RSRP Note 3,dBm/15 KHz,-90,-90,-90,- Infinity,,,-86,,-86,
Io Note 3,dBm/9MHz,-61.58,- 56.57,- 56.57,Specified in columns for Cell 1,,,,,,
Propagation Condition,,AWGN,,,AWGN,,,,,,
Antenna Configuration,,1x1,,,1x1,,,,,,
Timing offset to Cell 1Asynchronous cells,s,-,,,3,,,,,,
"Note 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 3:Es/Iot, RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.",,,,,,,,,,,
