Parameter,,Unit,Value,Comment
NB-IOT operational mode,,,In-band,
Initial condition,Active cell,,nCell1,
,Neighbour cells,,"eCell1, eCell2, nCell2",
T2 end condition,Active cell,,nCell2,
,Neighbour cells,,"eCell1, eCell2, nCell1",
Final condition,Visited cell,,nCell1,
E-UTRA RF Channel Number,,,1,One carrier frequency is used for eCell1 and eCell2.
Access Barring Information,,-,Not Sent,No additional delays in random access procedure.
NPRACH Configuration,,,NPRACH.R-1,Refer to A.3.18
DRX cycle length,,s,1.28,The value shall be used for all cells in the test.
T1,,s,>7,"During T1, nCell2 shall be powered off, and during the off time the physical cell identity shall be changed. The intention is to ensure that nCell2 has not been detected by the UE prior to the start of period T2"
T2,,s,60,T2 is defined so that cell re-selection time is taken into account. Once the UE has reselected to nCell2 (within T2) T3 starts
T3,,s,15,T3 is defined so that cell re-selection time is taken into account.
