Parameter,Unit,Cell 1,,,,
,,T0,T1,T2,T3,T4
E-UTRA RF Channel number,,1,,,,
BWchannel,MHz,5MHz: NRB = 2510MHz: NRB = 50,,,,
OCNG Patterns,,5MHz: OP.10 TDD10MHz: OP.2 TDD,,,,
PBCH_RA,dB,0,,,,
PBCH_RB,dB,,,,,
PSS_RA,dB,,,,,
SSS_RA,dB,,,,,
PCFICH_RB,dB,,,,,
PHICH_RA,dB,,,,,
PHICH_RB,dB,,,,,
PDCCH_RA,dB,,,,,
PDCCH_RB,dB,,,,,
PDSCH_RA,dB,,,,,
PDSCH_RB,dB,,,,,
OCNG_RA Note 1,dB,,,,,
OCNG_RB Note 1,dB,,,,,
Note 2,dBm/15kHz,-98,,,,
,dB,11,-3,11,-3,11
Note 3,dB,11,-3,11,-3,11
RSRP Note 3,dBm/15kHz,-87,-101,-87,-101,-87
Qrxlevmin,dBm/15kHz,-140,,,,
Snonintrasearch,dB,Not sent,,,,
"Threshserving, low",dB,46 (-94dBm),,,,
"Threshx, low Note 4",dB,24 (-79dBm),,,,
Propagation Condition,,AWGN,,,,
Antenna Configuration,,1x2,,,,
"Note 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for to be fulfilled.Note 3:Es/Iot and RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 4: This refers to the value of Threshx, low which is included in E-UTRA system information, and is a threshold for the UTRA TDD target cell.",,,,,,
