Parameter,Unit,Value,
NPDSCH Reference channel,-,R.14 NB-TDD,R.15 NB-TDD
LTE Carrier bandwidth,MHz,10,10
Allocated resource blocks,PRB,1,1
Number of transmitter antennas,-,1,2
Allocated subframes per Radio Frame,subframes,Note 1,Note 1
Modulation,,QPSK,QPSK
Target coding rate,,1/3,1/3
Information Bit Payload,,,
For Sub-Frame 4,Bits,40 Note 2,40 Note 2
"For Sub-Frame 0, 5, 9",Bits,0,0
"For Sub-Frame 1, 6 (DwPTS)",Bits,16 or 40 Note 6,16 or 40 Note 6
Number of Code Blocks per Sub-Frame,,,
For Sub-Frame 4,,1 Note 2,1 Note 2
"For Sub-Frame 0, 5, 9",,0,0
"For Sub-Frame 1, 6 (DwPTS)",,1,1
Maximum number of repetitions,-,Note 3,Note 3
NPDCCH start symbol,symbols,3,3
Cell ID,-,Note 4,Note 4
Note 1:Shall depend upon the NPDSCH scheduling.Note 2:Only apply for subframes scheduled with NPDSCH.Note 3:Maximum number of repetitions shall depend upon the test configuration.Note 4:Cell ID shall depend upon the test configuration.Note 5:SIB1-NB is transmitted in subframe 0 in odd radio frames.Note 6:Set 40 when NPDSCH is transmitted with repetition. Set 16 when NPDSCH is transmitted without repetition.,,,
