Parameter,Unit,Value,,,,,,,,
Reference channel,,R.2 FDD,,R.5 FDD,R.7 FDD,R.0 FDD,R.1 FDD,R.3 FDD,R.4 FDD,R.6 FDD
Channel bandwidth,MHz,1.4,3,5,5,10,10,10,20,20
Number of transmitter antennas,,1,,1,1,1,2,1,1,1
Allocated resource blocks (Note 4),,2,,11,11,24,24,24,24,24
Allocated subframes per Radio Frame,,10,,10,10,10,10,10,10,10
Modulation,,QPSK,,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK
Target Coding Rate,,1/3,,1/3,1/3,1/3,1/3,1/3,1/3,1/3
Information Bit Payload,,,,,,,,,,
"For Sub-Frames 4, 9",Bits,120,,968,968,2088,2088,2088,2088,2088
For Sub-Frame 5,Bits,104,,776,776,2088,1736,2088,2088,2088
For Sub-Frame 0,Bits,32,,616,616,1736,1736,1736,1736,1736
"For Sub-Frame 1, 2, 3, 6, 7, 8",Bits,0,,0,968,0,0,2088,0,2088
Number of Code Blocks per Sub-Frame(Note 5),,,,,,,,,,
"For Sub-Frames 4, 9",,1,,1,1,1,1,1,1,1
For Sub-Frame 5,,1,,1,1,1,1,1,1,1
For Sub-Frame 0,,1,,1,1,1,1,1,1,1
"For Sub-Frame 1, 2, 3, 6, 7, 8",,0,,0,1,0,0,1,0,1
Binary Channel Bits Per Sub-Frame,,,,,,,,,,
"For Sub-Frames 4, 9",Bits,456,,2772,2772,6624,6336,6624,6624,6624
For Sub-Frame 5,Bits,360,,2484,2484,6336,6048,6336,6336,6336
For Sub-Frame 0,Bits,176,,1932,1932,5784,5520,5784,5784,5784
"For Sub-Frame 1, 2, 3, 6, 7, 8",Bits,0,,0,2772,0,0,6624,0,6624
Max. Throughput averaged over 1 frame,kbps,37.6,,332.8,913.6,800,765,2053,800,2053
"Note 1:2 symbols allocated to PDCCH for 10 MHz channel BW. 4 symbols allocated to PDCCH for 1.4 MHz channel BW. 3 OFDM symbols allocated to PDCCH for 5 MHz channel BW.Note 2:Reference signal, synchronization signals and PBCH allocated as defined in 3GPP TS 36.211 [16].Note 3:If necessary the information bit payload size can be adjusted to facilitate the test implementation. The payload sizes are defined in 3GPP TS 36.213 [3].Note 4:Allocation is located in the middle of bandwidth.Note 5:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit)Note 6:PDSCH allocation applies only to subframes not configured as PRS subframes.",,,,,,,,,,
