Parameter,Unit,eCell 1,,,eCell 2,,,
,,T1,T2,T3,T1,T2,T3,
BWchannel,MHz,5 or 10,,,5 or 10,,,
NOCNG Pattern defined in clause D.3,-,BWchannel 5MHz: NOP.4 FDDBWchannel 10MHz: NOP.1 FDD,,,BWchannel 5MHz: NOP.4 FDDBWchannel 10MHz: NOP.1 FDD,,,
PBCH_RA,,dB,-3,,,-3,,
PBCH_RB,,dB,,,,,,
PSS_RA,,dB,,,,,,
SSS_RA,,dB,,,,,,
PDCCH_RA,,dB,,,,,,
PDCCH_RB,,dB,,,,,,
PDSCH_RA,,dB,,,,,,
PDSCH_RB,,dB,,,,,,
OCNG_RANote 1,,dB,,,,,,
OCNG_RBNote 1,,dB,,,,,,
Qrxlevmin,dBm,-140,-140,-140,-140,-140,-140,
Pcompensation,dB,0,0,0,0,0,0,
Qhysts,dB,0,0,0,0,0,0,
"Qoffsets, n",dB,0,0,0,0,0,0,
Note2,dBm/15 kHz,-98,,,-98,,,
Note2,dBm,3,3,3,3,3,3,
Treselection,s,0,0,0,0,0,0,
Propagation Condition,,AWGN,,,AWGN,,,
Antenna Configuration,,2x1,,,2x1,,,
Timing offset to eCell 1,ms,-,,,3,,,
Note 1:OCNG shall be used such that the Cell is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power .Note 3:Void,,,,,,,,
