Parameter,Unit,Value,,,,,
Reference channel,,,,,R.5 TDD,,
Channel bandwidth,MHz,1.4,3,5,10,10,20
Number of transmitter antennas,,,,,1,,
Allocated resource blocks (Note 4),,,,,24,,
Uplink-Downlink Configuration (Note 5),,,,,0,,
Special Subframe Configuration (Note 6),,,,,6,,
Allocated subframes per Radio Frame,,,,,4,,
Modulation,,,,,QPSK,,
Target Coding Rate,,,,,1/3,,
Information Bit Payload,,,,,,,
"For Sub-Frames 4,9",Bits,,,,N/A,,
For Sub-Frame 5,Bits,,,,2088,,
For Sub-Frame 0,Bits,,,,2088,,
"For Sub-Frame 1, 6 (DwPTS)",Bits,,,,1032,,
Number of Code Blocks per Sub-Frame(Note 7),,,,,1,,
"For Sub-Frames 4,9",,,,,N/A,,
For Sub-Frame 5,,,,,1,,
For Sub-Frame 0,,,,,1,,
"For Sub-Frame 1, 6 (DwPTS)",,,,,1,,
Binary Channel Bits Per Sub-Frame,,,,,,,
"For Sub-Frames 4,9",Bits,,,,N/A,,
For Sub-Frame 5,Bits,,,,6480,,
For Sub-Frame 0,Bits,,,,5928,,
"For Sub-Frame 1, 6 (DwPTS)",Bits,,,,3696,,
Max. Throughput averaged over 1 frame,Mbps,,,,0.624,,
"Note 1:2 symbols allocated to PDCCH for 10 MHz channel BW. 3 OFDM symbols allocated to PDCCH for 5MHz channel BW. 4 symbols allocated to PDCCH for 1.4 MHz channel BW. For special subframe (1 & 6) only 2 OFDM symbols are allocated to PDCCH for all bandwidths.Note 2:Reference signal, synchronization signals and PBCH allocated as defined in TS 36.211 [16].Note 3:If necessary the information bit payload size can be adjusted to facilitate the test implementation. The payload sizes are defined in TS 36.213 [3].Note 4:Allocation is located in the middle of bandwidth.Note 5:As per Table 4.2-2 in TS 36.211 [16]Note 6:As per Table 4.2-1 in TS 36.211 [16]Note 7:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit)Note 8:PDSCH allocation applies only to subframes not configured as PRS subframes.",,,,,,,
