Parameter,Unit,Cell 1,,,,,Cell 2,,,,
,,T1,T2,T3,T4,T5,T1,T2,T3,T4,T5
E-UTRA RF Channel number,,1,,,,,2,,,,
BWchannel,MHz,10,,,,,10,,,,
Special subframe configuration,,NA,,,,,6,,,,
Uplink-downlink configuration,,NA,,,,,1,,,,
"OCNG Patterns defined in A.3.2.1.1 (OP.1 FDD) A.3.2.1.2 (OP.2  FDD),A.3.2.2.1 (OP.1 TDD) and A.3.2.2.2 (OP.2 TDD)",,OP.1 FDD,OP.1 FDD,OP.1 FDD,OP.1 FDD,OP.2 FDD,OP.2 TDD,OP.2 TDD,OP.1 TDD,OP.1 TDD,OP.1 TDD
PDSCH parameters,,DL Reference Measurement Channel R.0 FDD,DL Reference Measurement Channel R.0 FDD,DL Reference Measurement Channel R.0 FDD,DL Reference Measurement Channel R.0 FDD,NA,NA,NA,DL Reference Measurement Channel R.0 TDD,DL Reference Measurement Channel R.0 TDD,DL Reference Measurement Channel R.0 TDD
PCFICH/PDCCH/PHICH parameters,,DL Reference Measurement Channel R.6 FDD,DL Reference Measurement Channel R.6 FDD,DL Reference Measurement Channel R.6 FDD,DL Reference Measurement Channel R.6 FDD,NA,NA,NA,DL Reference Measurement Channel R.6 TDD,DL Reference Measurement Channel R.6 TDD,DL Reference Measurement Channel R.6 TDD
PBCH_RA,dB,0,,,,,0,,,,
PBCH_RB,dB,,,,,,,,,,
PSS_RA,dB,,,,,,,,,,
SSS_RA,dB,,,,,,,,,,
PCFICH_RB,dB,,,,,,,,,,
PHICH_RA,dB,,,,,,,,,,
PHICH_RB,dB,,,,,,,,,,
PDCCH_RA,dB,,,,,,,,,,
PDCCH_RB,dB,,,,,,,,,,
PDSCH_RA,dB,,,,,,,,,,
PDSCH_RB,dB,,,,,,,,,,
OCNG_RANote 1,dB,,,,,,,,,,
OCNG_RBNote 1,dB,,,,,,,,,,
,dB,4,4,4,4,4,-Infinity,7,7,7,7
Note 2,dBm/15 kHz,-98,,,,,,,,,
,dB,4,4,4,4,4,-Infinity,7,7,7,7
RSRP Note 3,dBm/15 KHz,-94,-94,-94,-94,-94,-infinity,-91,-91,-91,-91
Propagation Condition,,AWGN,,,,,,,,,
Note 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 3:RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,,,,,,,,,
