Parameter,,Unit,Value,Comment
Initial conditions,Active cell,,Cell 1,
,Neighbouring cell,,Cell 2,
Final condition,Active cell,,Cell 2,
E-UTRA RF Channel Number,,,1,Only one TDD carrier frequency is used.
Channel Bandwidth (BWchannel),,MHz,10,
PRACH Configuration,,,PRACH_2CE,As specified in A.3.16
N310,,-,1,Maximum consecutive out-of-sync indications from lower layers
N311,,-,1,Minimum consecutive in-sync indications from lower layers
T310,,ms,0,Radio link failure timer; T310 is disabled
T311,,ms,3000,RRC re-establishment timer
DRX,,,OFF,
CP length,,,Normal,
Access Barring Information,,-,Not Sent,No additional delays in random access procedure.
Special subframe configuration,,,6,As specified in table 4.2-1 in TS 36.211
Uplink-downlink configuration,,,1,As specified in table 4.2-2 in TS 36.211
PRACH configuration index,,,53,As specified in table 5.7.1-3 in TS 36.211
Time offset between cells,,s,3,Synchronous cells
T1,,s,5,
T2,,ms,400,
T3,,s,3,
