Parameter,Unit,nCell 1,,nCell 2,
,,T1,T2,T1,T2
BWchannel,kHz,180,,180,
PRB location within eCell,-,eCell 1 BWchannel 5MHz: 18eCell 1 BWchannel 10MHz: 30,,eCell 2 BWchannel 5MHz: 18eCell 2 BWchannel 10MHz: 30,
NPBCH_RA,dB,-3,,-3,
NPBCH_RB,dB,,,,
NPSS_RA,dB,,,,
NSSS_RA,dB,,,,
NPDCCH_RA,dB,,,,
NPDCCH_RB,dB,,,,
NPDSCH_RA,dB,,,,
NPDSCH_RB,dB,,,,
NOCNG_RANote 1,dB,,,,
NOCNG_RBNote 1,dB,,,,
Qrxlevmin,dBm,-140,-140,-140,-140
Pcompensation,dB,0,0,0,0
Qhysts,dB,0,0,0,0
"Qoffsets, n",dB,0,0,0,0
Cell_selection_and_reselection_quality_measurement,,NRSRP,,NRSRP,
,dBm/15 kHz,Specified in Table A.4.2.18.1-3,,,
,dB,17,7,-infinity,11
Note2,dB,17,-4.33,-infinity,3.21
NRSRP Note2,dBm/15 kHz,-81,-91,-infinity,-87
Treselection,s,0,0,0,0
Propagation Condition,,AWGN,,AWGN,
Antenna Configuration,,2x1,,2x1,
Timing offset to nCell 1,ms,-,,3,
Note 1:NOCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Es/Iot and NRSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,,,
