Parameter,,Unit,Value,Comment
Initial condition,Active cell,,Cell 1,E-UTRAN TDD cell
,Neighbour cell,,Cell 2,cdma2000 1X cell
Final condition,Active cell,,Cell 2,cdma2000 1X cell is selecting during T2
DRX cycle length,,s,1.28,
E-UTRA TDD RF Channel Number,,,1,Only one TDD carrier frequency is used.
E-UTRA TDD Channel Bandwidth (BWchannel),,MHz,10,
cdma2000 1X RF Channel Number,,,1,Only one cdma2000 1X carrier frequency is used.
E-UTRA TDD PRACH configuration,,,53,As specified in table 5.7.1-3 in TS 36.211
Uplink-downlink configuration of cell 1,,,1,As specified in table 4.2.2 in TS 36.211
Special subframe configuration of cell 1,,,6,As specified in table 4.2.1 in TS 36.211
E_UTRA TDD Access Barring Information,,-,Not Sent,No additional delays in random access procedure.
T1,,s,30,
T2,,s,30,
