Test category,Test case,Test case name
Cell re-selection tests,A.4.2.20,E-UTRAN FDD – FDD Intra frequency case for UE Category 1bis
,A.4.2.21,E-UTRAN TDD – TDD Intra frequency case for UE Category 1bis
,A.4.2.31,E-UTRAN FDD – FDD Inter frequency case for UE Category 1bis
,A.4.2.32,E-UTRAN FDD – TDD Inter frequency case for UE Category 1bis
,A.4.2.33,E-UTRAN TDD – FDD Inter frequency case for UE Category 1bis
,A.4.2.34,E-UTRAN TDD – TDD: Inter frequency case for UE Category 1bis
Handover tests,A.5.1.19,E-UTRAN FDD - FDD Intra frequency handover for UE Category 1bis
,A.5.1.20,E-UTRAN TDD - TDD Intra frequency handover for UE Category 1bis
,A.5.1.3,E-UTRAN FDD – FDD Inter frequency handover
,A.5.1.4,E-UTRAN TDD – TDD Inter frequency handover
,A.5.1.5,E-UTRAN FDD – FDD Inter frequency handover: unknown target cell
,A.5.1.6,E-UTRAN TDD – TDD Inter frequency handover; unknown Target Cell
,A.5.1.7,E-UTRAN FDD – TDD Inter frequency handover
,A.5.1.8,E-UTRAN TDD – FDD Inter frequency handover
RRC re-establishment tests,A.6.1.1,E-UTRAN FDD Intra-frequency RRC Re-establishment
,A.6.1.2,E-UTRAN FDD Inter-frequency RRC Re-establishment
,A.6.1.3,E-UTRAN TDD Intra-frequency RRC Re-establishment
,A.6.1.4,E-UTRAN TDD Inter-frequency RRC Re-establishment
Random access tests,A.6.2.1,E-UTRAN FDD – Contention Based Random Access Test
,A.6.2.2,E-UTRAN FDD – Non-Contention Based Random Access Test
,A.6.2.3,E-UTRAN TDD – Contention Based Random Access Test
,A.6.2.4,E-UTRAN TDD – Non-Contention Based Random Access Test
RRC connection release with redirection tests,A.6.3.1,Redirection from E-UTRAN FDD to UTRAN FDD
,A.6.3.2,Redirection from E-UTRAN TDD to UTRAN FDD
,A.6.3.3,Redirection from E-UTRAN FDD to GERAN when System Information is provided
,A.6.3.4,Redirection from E-UTRAN TDD to GERAN when System Information is provided
,A.6.3.5,E-UTRA TDD RRC connection release redirection to UTRA TDD
,A.6.3.6,E-UTRA FDD RRC connection release redirection to UTRA TDD
,A.6.3.7,E-UTRA TDD RRC connection release redirection to UTRA TDD without SI provided
,A.6.3.8,E-UTRA FDD RRC connection release redirection to UTRA TDD without SI provided
,A.6.3.9,Redirection from E-UTRAN FDD to UTRAN FDD without System Information
,A.6.3.10,Redirection from E-UTRAN FDD to GERAN when System Information is not provided
,A.6.3.11,Redirection from E-UTRAN TDD to GERAN when System Information is not provided
,A.6.3.12,E-UTRAN TDD RRC connection release redirection to UTRAN FDD without SI provided
UE transmit timing tests,A.7.1.1,E-UTRAN FDD – UE Transmit Timing Accuracy Tests
,A.7.1.2,E-UTRAN TDD - UE Transmit Timing Accuracy Tests
UE timing advance tests,A.7.2.1,E-UTRAN FDD – UE Timing Advance Adjustment Accuracy Test
,A.7.2.2,E-UTRAN TDD – UE Timing Advance Adjustment Accuracy Test
Radio link monitoring tests,A.7.3.26,E-UTRAN FD-FDD Radio Link Monitoring Test for Out-of-sync for UE Category 0
,A.7.3.27,E-UTRAN FD-FDD Radio Link Monitoring Test for In-sync for UE Category 0
,A.7.3.28,E-UTRAN FD-FDD Radio Link Monitoring Test for Out-of-sync in DRX for UE category 0
,A.7.3.29,E-UTRAN FD-FDD Radio Link Monitoring Test for In-sync in DRX for UE Category 0
,A.7.3.34,E-UTRAN TDD Radio Link Monitoring Test for Out-of-sync for UE Category 0
,A.7.3.35,E-UTRAN TDD Radio Link Monitoring Test for In-sync for UE category 0
,A.7.3.36,E-UTRAN TDD Radio Link Monitoring Test for Out-of-sync in DRX for UE category 0
,A.7.3.37,E-UTRAN TDD Radio Link Monitoring Test for In-sync in DRX for UE category 0
Event-triggered reporting,A.8.1.11,E-UTRAN FDD-FDD intra-frequency event triggered reporting under fading propagation conditions in asynchronous cells for UE category 0
,A.8.1.12,E-UTRAN FDD-FDD intra-frequency event triggered reporting under fading propagation conditions in synchronous cells for UE category 0
,A.8.1.13,E-UTRAN FDD-FDD intra-frequency event triggered reporting under fading propagation conditions in synchronous cells with DRX for UE category 0
,A.8.2.12,E-UTRAN TDD-TDD intra-frequency event triggered reporting under fading propagation conditions in synchronous cells
,A.8.2.13,E-UTRAN TDD-TDD intra-frequency event triggered reporting under fading propagation conditions in synchronous cells with DRX
,A.8.3.1,E-UTRAN FDD-FDD Inter-frequency event triggered reporting under fading propagation conditions in asynchronous cells
,A.8.3.2,E-UTRAN FDD-FDD Inter-frequency event triggered reporting when DRX is used under fading propagation conditions in asynchronous cells
,A.8.3.3,E-UTRAN FDD-FDD inter-frequency event triggered reporting under AWGN propagation conditions in asynchronous cells with DRX when L3 filtering is used
,A.8.4.1,E-UTRAN TDD-TDD Inter-frequency event triggered reporting under fading propagation conditions in synchronous cells
,A.8.4.2,E-UTRAN TDD-TDD Inter-frequency event triggered reporting when DRX is used under fading propagation conditions in synchronous cells
,A.8.4.3,E-UTRAN TDD-TDD inter-frequency event triggered reporting under AWGN propagation conditions in synchronous cells with DRX when L3 filtering is used
,A.8.4.6,E-UTRAN TDD-TDD Inter-frequency event triggered reporting for TDD UL/DL configuration 0
CGI reading tests,A.8.1.19,E-UTRAN FDD-FDD Intra-frequency identification of a new CGI of E-UTRA cell using autonomous gaps for UE category 0
,A.8.1.20,E-UTRAN FDD - FDD Intra-frequency identification of a new CGI of E-UTRA cell using autonomous gaps with DRX for UE category 0
,A.8.2.7,E-UTRAN TDD Intra-frequency identification of a new CGI of E-UTRA cell using autonomous gaps
,A.8.2.8,E-UTRAN TDD Intra-frequency identification of a new CGI of E-UTRA cell using autonomous gaps with DRX
RSTD measurement reporting delay test,A.8.12.1,E-UTRAN FDD intra-frequency RSTD measurement reporting delay test case
,A.8.12.2,E-UTRAN TDD intra-frequency RSTD measurement reporting delay test case
,A.8.13.1,E-UTRAN FDD-FDD inter-frequency RSTD measurement reporting delay test case with the reference cell on the serving carrier frequency
,A.8.13.2,E-UTRAN TDD-TDD inter-frequency RSTD measurement reporting delay test case with the reference cell on the serving carrier frequency
RSRP measurement accuracy tests,A.9.1.1,FDD Intra frequency caseMeasurement accuracy requirement in 9.1.2.7 and 9.1.2.8
,A.9.1.2,TDD Intra frequency caseMeasurement accuracy requirement in 9.1.2.7 and 9.1.2.8
