Parameter,Unit,Value,Comments
E-UTRA RF Channel Number,,1,
BWchannel,MHz,10,
OCNG Pattern Note 1,,OP.1/2 FDD Note 1,As defined in A.3.2.1.1/2.
PDSCH parameters Note 4,,DL Reference Measurement Channel R.0 FDD Note 4,As defined in A.3.1.1.1.
PCFICH/PDCCH/PHICH parameters,,DL Reference Measurement Channel R.6 FDD,As defined in A.3.1.2.1.
PBCH_RA,dB,0,
PBCH_RB,dB,,
PSS_RA,dB,,
SSS_RA,dB,,
PCFICH_RB,dB,,
PHICH_RA,dB,,
PHICH_RB,dB,,
PDCCH_RA,dB,,
PDCCH_RB,dB,,
PDSCH_RA,dB,,
PDSCH_RB,dB,,
OCNG_RA Note 1,dB,,
OCNG_RB Note 1,dB,,
,dB,3,
,dBm/15 KHz,-98,
,dB,3,
Io Note 2,dBm/9 MHz,-65.5,
RSRP Note 3,dBm/15 KHz,-95,
referenceSignalPower,dBm/15 KHz,-5,As defined in clause 6.3.2 in TS 36.331.
Configured UE transmitted power (),dBm,23,As defined in clause 6.2.5 in TS 36.101.
PRACH Configuration Index,-,4,As defined in table 5.7.1-2 in TS 36.211.
Backoff Parameter Index,-,2,As defined in table 7.2-1 in TS 36.321.
Propagation Condition,-,AWGN,
Note 1:OCNG shall be used such that the cell is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols. The OCNG pattern is chosen during the test according to the presence of a DL reference measurement channel.Note 2:Io level has been derived from other parameters for information purpose. It is not a settable parameter.Note 3:RSRP level has been derived from other parameters for information purposes. It is not a settable parameter.Note 4:The DL PDSCH reference measurement channel is used in the test only when a downlink transmission dedicated to the UE under test is required.,,,
