Parameter,Unit,Cell 1,
,,T1,T2
E-UTRA RF Channel Number,,1,
BWchannel,MHz,10,
OCNG Patterns defined in TS36.133 A.3.2.2.1 (OP.1 TDD) and in A.3.2.2.2 (OP.2  TDD),,OP.1 TDD,OP.2 TDD
PBCH_RA,dB,0,0
PBCH_RB,dB,,
PSS_RA,dB,,
SSS_RA,dB,,
PCFICH_RB,dB,,
PHICH_RA,dB,,
PHICH_RB,dB,,
PDCCH_RA,dB,,
PDCCH_RB,dB,,
PDSCH_RA,dB,,
PDSCH_RB,dB,,
OCNG_RANote 1,dB,,
OCNG_RBNote 1,dB,,
,dB,3,3
,dB,3,3
,dBm/15kHz,-98,
RSRP,dBm/15kHz,-95,-95
SCH_RP,dBm/15 kHz,-95,-95
Propagation Condition,,AWGN,
Note 1: OCNG shall be used such that cell is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2: RSRP and SCH_RP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,
