Parameter,Unit,Cell 2,,
,,T1,T1,
UTRAN RF Channel Number,,1,,
CPICH_Ec/Ior,dB,-10,,
PCCPCH_Ec/Ior,dB,-12,,
SCH_Ec/Ior,dB,-12,,
PICH_Ec/Ior,dB,-15,,
DPCH_Ec/Ior,dB,N/A,,
OCNS,,-0.941,,
,dB,-∞,0.02,
,dBm/3.84 MHz,-70,,
CPICH_Ec/IoNote 3,dB,-∞,,-13
Propagation Condition,,AWGN,,
Note 1:The DPCH level is controlled by the power control loop.Note 2:The power of the OCNS channel that is added shall make the total power from the cell to be equal to Ior.Note 3: This gives an SCH Ec/Io of -15dB,,,,
