Parameter,Unit,Value,,
PDSCH Reference channel,,R.16 TDD,R.17 TDD,
Carrier bandwidth,MHz,10,10,
Number of transmitter antennas,,1,2,
Allocated resource blocksNote1,PRBs,2,2,
Allocated subframes per Radio Frame,,4,4,
TDD Uplink-Downlink Configuration,,0,0,
TDD Special Subframe Configuration,,6,6,
Modulation,,QPSK,QPSK,
Target coding rate,,1/3,1/3,
Information Bit Payload,,,,
"All Sub-Frames except  1, 6 (TDD)",Bits,32,32,
"All Sub-Frames except  1, 6 (TDD DwPTS)",-,0,0,
Number of Code Blocks per Sub-Frame,,1,1,
"All Sub-Frames except  1, 6 (TDD)",,1,1,
"All Sub-Frames except  1, 6 (TDD DwPTS)",,0,0,
Maximum number of repetitions,,16,16,
Frequency hopping,,ON,ON,
Number of narrowbands for frequency hopping,,2,2,
PDSCH Narrowband,,2nd,2nd,
Frequency HoppingOffset,narrowbands,7,7,
PDSCH start symbol,symbols,2,2,
Frequency hopping interval,subframes,10,10,
Cell ID,,Note 2,Note 2,
Note 1:Allocation is located in the middle of narrowband.Note 2:Cell ID shall depend upon the test configuration.,,,,
