Information Element,,,,Value
discRxPool,cp-Len,,,Normal
,discPeriod,,,rf32
,numRetx,,,0
,numRepetition,,,1
,tf-ResourceConfig,prb-Num,,12
,,prb-Start,,0
,,prb-End,,23
,,offsetIndicator,,160
,,subframeBitmap,,1100000000000000000000000000000000000000
,txParameters,,,not present
,rxParameters,tdd-Config,,not present
,,syncConfigIndex,,0
discTxPoolCommon/ discTxPoolDedicated,,,,not present
discTxPowerInfo,discMaxTxPower,,,23
SL-SyncConfig,syncCP-Len,,,Normal
,syncOffsetIndicator,,,20 (140 mod 40)
,slssid,,,30
,txParameters,,,not present
,rxParamsNCell,physCellId,,1
,,discSyncWindow,,w1
discInterFreqLis,,,,not present
