Parameter,Unit,Cell 1,,,Cell 2,,
,,T1,T2,T3,T1,T2,T3
E-UTRA RF Channel Number,,1,,,1,,
BWchannel,MHz,"5MHz: NRB,c = 2510MHz: NRB,c = 5020MHz: NRB,c = 100",,,"5MHz: NRB,c = 2510MHz: NRB,c = 5020MHz: NRB,c = 100",,
OCNG Patterns defined in A.3.2.1,,5MHz: OP.16 FDD10MHz: OP.2 FDD20MHz: OP.12 FDD,,,5MHz: OP.16 FDD10MHz: OP.2 FDD20MHz: OP.12 FDD,,
PBCH_RA,dB,-3,,,-3,,
PBCH_RB,,,,,,,
PSS_RA,,,,,,,
SSS_RA,,,,,,,
PCFICH_RB,,,,,,,
PHICH_RA,,,,,,,
PHICH_RB,,,,,,,
PDCCH_RA,,,,,,,
PDCCH_RB,,,,,,,
PDSCH_RA,,,,,,,
PDSCH_RB,,,,,,,
OCNG_RANote 1,,,,,,,
OCNG_RBNote 1,,,,,,,
Qrxlevmin,dBm,-140,,,-140,,
Pcompensation,dB,0,,,0,,
Qhysts,dB,0,,,0,,
"Qoffsets, n",dB,0,,,0,,
Cell_selection_and_reselection_quality_measurement,,RSRP,,,RSRP,,
Note2,dBm/15 kHz,-98,,,,,
,dB,16,13,16,-infinity,16,13
,dB,16,-3.11,2.79,-infinity,2.79,-3.11
RSRP Note3,dBm/15 kHz,-82,-85,-82,-infinity,-82,-85
Treselection,s,0,,,0,,
Sintrasearch,dB,Not sent,,,Not sent,,
Propagation Condition,,AWGN,,,AWGN 1750Hz Note4,,
Antenna Configuration,,2x2,,,2x2,,
Timing offset to Cell 1Synchronous cells,us,-,,,3,,
Note 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 3:Es/Iot and RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 4:The AWGN 1750Hz condition is a non fading propagation channel with one tap. Doppler shift is a constant 1750Hz.,,,,,,,
