Parameter,,Unit,Value,Comment
PDSCH parameters,,,DL Reference Measurement Channel R.0 FDD,As specified in clause A.3.1.1.1
PCFICH/PDCCH/PHICH parameters,,,DL Reference Measurement Channel R.6 FDD,As specified in clause A.3.1.2.1
Initial conditions,Active cell,,Cell 1,E-UTRA FDD cell
,Neighbour cell,,Cell 2,UTRA 1.28Mcps TDD Cell
Final conditions,Active cell,,Cell 2,
Gap Pattern Id,,,1,As specified in TS 36.133 clause 8.1.2.1.
E-UTRAN FDD measurement quantity,,,RSRP,
UTRAN TDD measurement quantity,,,RSCP,
CP length of cell 1,,,Normal,
Access Barring Information,,,Not Sent,No additional delays in random access procedure.
Assigned Sub-Channel Number,,,1,No additional delays in random access procedure due to ASC.
Hysteresis,,dB,0,
Time To Trigger,,s,0,
Filter coefficient,,,0,L3 filtering is not used
DRX,,,OFF,
Ofn,,dB,0,
Thresh1,,dBm,-93,Absolute E-UTRAN RSRP threshold for event B2
Thresh2,,dBm,-80S,Absolute UTRAN RSCP threshold for event B2
T1,,s,5,
T2,,s,10,
T3,,s,1,
