Allocation,Relative power level  [dB],,,PDSCHData,NPDCCH and NPDSCHData
,Subframe,,,,
,"0, 5, 9","1, 6Note 7","3, 4, 8Note 4",,
0 – ( nCell[1]RB -1)(Note 5),0,0,0,Note 1,N/A
nCell[1]RB(Note 5),0 (Note 3),0,N/A,N/A,Note 2
,N/A,N/A,0,Note 1,N/A
( nCell[1]RB +1 ) – ( nCell[…]RB -1)(Note 5),0,0,0,Note 1,N/A
nCell[…]RB(Note 5),0 (Note 3),0,N/A,N/A,Note 2
,N/A,N/A,0,Note 1,N/A
( nCell[...]RB +1 ) – ( nCell[N]RB -1)(Note 5),0,0,0,Note 1,N/A
nCell[N]RB(Note 5),0 (Note 3),0,N/A,N/A,Note 2
,N/A,N/A,0,Note 1,N/A
( nCell[N]RB+1 ) – 49(Note 5),0,0,0,Note 1,N/A
"Note 1:These physical resource blocks are assigned to an arbitrary number of virtual UEs with one PDSCH per virtual UE; the data transmitted over the OCNG PDSCHs shall be uncorrelated QPSK modulated pseudo random data. The parameter is used to scale the power of PDSCH. If two or more transmit antennas with CRS are used in the test, the PDSCH part of OCNG shall be transmitted to the virtual users by all the transmit antennas with CRS and according to the antenna transmission mode 2. The parameter applies to each antenna port separately, so the transmit power of the PDSCH part of OCNG is equal between all the transmit antennas with CRS used in the test. The antenna transmission modes are specified in clause 7.1 in TS 36.213.Note 2:This physical resource block is assigned to a virtual UE for transmission of NPDCCH or NPDSCH; the data transmitted over the NOCNG NPDCCH or NPDSCH shall be uncorrelated QPSK modulated pseudo random data. The parameter is used to scale the power of NPDCCH and NPDSCH.If two transmit antennas with NBRS are used in the test, the NPDCCH and NPDSCH parts of NOCNG shall be transmitted to the virtual users by both transmit antennas with NBRS and according to the antenna transmission mode 2. The parameter applies to each antenna port separately, so the transmit power of the NPDCCH and NPDSCH parts of NOCNG is equal between both the transmit antennas with NBRS used in the test. The antenna transmission modes are specified in clause 7.1 in TS 36.213.Note 3:Value of is applicable to PRBs not used for transmission of NPSS, NSSS, and NPBCH in anchor cells.Note 4:Subframes available for DL transmission depends on the Uplink-Downlink configuration in Table 4.2-2 in TS 36.211 [16].Note 5:nCell[k]RB is the index of the RB used for allocation of the NB-IoT cell k with k = {1, .., N} with N the total number of the NB-IoT cells belonging to the same E-UTRA donor cell as specified in the individual tests.Note 6:SI transmissions, and NPDCCH and NPDSCH for the UE under test, have precedence over OCNG and NOCNG.Note 7:Whether NPDSCH transmissions are carried out in DwPTS depends on the special subframe configuration in use.N/A:Not Applicable",,,,,
