Parameter,Unit,Cell 1,Cell 2,Cell 3,Comments
E-UTRA RF Channel Number,-,1,2,3,
BWchannel,-,"5MHz: NRB,c = 2510MHz: NRB,c = 5020MHz: NRB,c = 100","5MHz: NRB,c = 2510MHz: NRB,c = 5020MHz: NRB,c = 100","5MHz: NRB,c = 2510MHz: NRB,c = 5020MHz: NRB,c = 100",
TAG configuration,-,pTAG,sTAG,sTAG,Cell 2 and Cell 3 are in the same sTAG
PDSCH parameters:DL Reference Measurement Channel,-,5MHz: R.4 TDD10MHz: R.0 TDD20MHz: R.3 TDD,5MHz: R.4 TDD10MHz: R.0 TDD20MHz: R.3 TDD,5MHz: R.4 TDD10MHz: R.0 TDD20MHz: R.3 TDD,As defined in A.3.1.1.2.
PCFICH/PDCCH/PHICH parameters:DL Reference Measurement Channel,-,5MHz: R.11 TDD10MHz: R.6 TDD20MHz: R.10 TDD,5MHz: R.11 TDD10MHz: R.6 TDD20MHz: R.10 TDD,5MHz: R.11 TDD10MHz: R.6 TDD20MHz: R.10 TDD,As defined in A.3.1.2.2.
OCNG Patterns,-,5MHz: OP.9 TDD10MHz: OP.1 TDD20MHz: OP.7 TDD,5MHz: OP.9 TDD10MHz: OP.1 TDD20MHz: OP.7 TDD,5MHz: OP.9 TDD10MHz: OP.1 TDD20MHz: OP.7 TDD,As defined in A.3.2.2.
Special subframe configuration,-,6,6,6,As specified in table 4.2-1 in TS 36.211.
Uplink-downlink configuration,-,1,1,1,As specified in table 4.2-2 in TS 36.211.
PBCH_RA,dB,0,0,0,
PBCH_RB,dB,,,,
PSS_RA,dB,,,,
SSS_RA,dB,,,,
PCFICH_RB,dB,,,,
PHICH_RA,dB,,,,
PHICH_RB,dB,,,,
PDCCH_RA,dB,,,,
PDCCH_RB,dB,,,,
PDSCH_RA,dB,,,,
PDSCH_RB,dB,,,,
OCNG_RA Note 1,dB,,,,
OCNG_RB Note 1,dB,,,,
,dB,3,3,3,
,dBm/15 KHz,-98,-98,-98,
,dB,3,3,3,
Io Note 2,dBm/ BWchannel,"-65.5+10log(NRB,c /50)","-65.5+10log(NRB,c /50)","-65.5+10log(NRB,c /50)",
RSRP Note 3,dBm/15 KHz,-95,-95,-95,
referenceSignalPower,dBm/15 KHz,-5,-5,-5,As defined in clause 6.3.2 in TS 36.331.
Configured UE transmitted power (),dBm,23,23,23,As defined in clause 6.2.5 in TS 36.101.
PRACH Configuration Index,-,53,53,53,As defined in table 5.7.1-3 in TS 36.211.
Backoff Parameter Index,-,2,2,2,As defined in table 7.2-1 in TS 36.321.
Propagation Condition,-,AWGN,AWGN,AWGN,
Antenna Configuration,,1x2,1x2,1x2,
Timing offset to Cell 1,s,-,0,0,
Time alignment error relative to cell 1 Note 4,s,-,≤ TAE,≤ TAE,
Time alignment error relative to cell 2 Note 4,s,-,-,≤ TAE,
Note 1:OCNG shall be used such that the cell is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Io level has been derived from other parameters for information purpose. It is not a settable parameter.Note 3:RSRP level has been derived from other parameters for information purposes. It is not a settable parameter.Note 4: The time alignment error (TAE) between two cells specified in TS36.104 [30] clause 6.5.3.1 (value depends upon the type of carrier aggregation).Note 5:This test verifies the RRM requirement which is independent of channel bandwidth and is performed according to the principle defined in section A.3.6.1.,,,,,
