Parameter,Unit,Cell 1,,,,
,,T0,T1,T2,T3,T4
E-UTRA RF Channel number,,1,,,,
BWchannel,MHz,5MHz: NRB = 2510MHz: NRB = 50,,,,
Io,dBm/4.5MHz(25RB)dBm/9Mhz (50RB),-59.06-56.05,-71.77-68.76,-59.06-56.05,-71.77-68.76,-59.06-56.05
PDSCH parameters:DL Reference Measurement Channel,,OP.16 FDD (5MHz)OP.2 FDD (10MHz),,,,
PBCH RA,dB,0,,,,
PBCH RB,dB,,,,,
PSS RA,dB,,,,,
SSS RA,dB,,,,,
PCFICH RB,dB,,,,,
PHICH RA,dB,,,,,
PHICH RB,dB,,,,,
PDCCH RA,dB,,,,,
PDCCH RB,dB,,,,,
PDSCH RA,dB,,,,,
PDSCH RB,dB,,,,,
OCNG_RANote 1,dB,,,,,
OCNG_RBNote 1,dB,,,,,
Qrxlevmin,dBm,-140,,,,
Note 2,dBm,-98,,,,
RSRP Note 3,dBm,-84,-102,-84,-102,-84
,dB,14,-4,14,-4,14
,dB,14,-4,14,-4,1
TreselectionEUTRAN,s,0,,,,
Snonintrasearch,dB,62,,,,
"Threshserving, low",dB,44,,,,
"Threshx, low (Note 4)",dB,40,,,,
Propagation Condition,,AWGN,,,,
"Note 1:OCNG shall be used such that the cell is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for   to be fulfilled.Note 3:RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 4:This refers to the value of Threshx, low which is included in E-UTRA system information, and is a threshold for the UTRA target cell",,,,,,
