Parameter,Unit,Value,,,,,
Reference channel,,R.2 TDD,,R.4TDD,R.0 TDD,R.1 TDD,R.3 TDD
Channel bandwidth,MHz,1.4,3,5,10,10,20
Number of transmitter antennas,,1,,1,1,2,1
Allocated resource blocks (Note 4),,2,,11,24,24,24
Uplink-Downlink Configuration (Note 5),,1,,1,1,1,1
Special Subframe Configuration (Note 6),,6,,6,6,6,6
Allocated subframes per Radio Frame,,6,,6,6,6,6
Modulation,,QPSK,,QPSK,QPSK,QPSK,QPSK
Target Coding Rate,,1/3,,1/3,1/3,1/3,1/3
Information Bit Payload,,,,,,,
"For Sub-Frames 4,9",Bits,120,,968,2088,2088,2088
For Sub-Frame 5,Bits,104,,968,2088,2088,2088
For Sub-Frame 0,Bits,56,,616,2088,1736,2088
"For Sub-Frame 1, 6 (DwPTS)",Bits,56,,552,1032,1032,1032
Number of Code Blocks per Sub-Frame(Note 7),,1,,1,1,1,1
"For Sub-Frames 4,9",,1,,1,1,1,1
For Sub-Frame 5,,1,,1,1,1,1
For Sub-Frame 0,,1,,1,1,1,1
"For Sub-Frame 1, 6 (DwPTS)",,1,,1,1,1,1
Binary Channel Bits Per Sub-Frame,,,,,,,
"For Sub-Frames 4,9",Bits,456,,2772,6624,6336,6624
For Sub-Frame 5,Bits,408,,2628,6480,6192,6480
For Sub-Frame 0,Bits,224,,2076,5928,5664,5928
"For Sub-Frame 1, 6 (DwPTS)",Bits,272,,1616,3696,3504,3696
Max. Throughput averaged over 1 frame,Mbps,0.0512,,0.4624,1.0416,1.0064,1.0416
"Note 1:2 symbols allocated to PDCCH for 10 MHz channel BW. 3 OFDM symbols allocated to PDCCH for 5MHz channel BW. 4 symbols allocated to PDCCH for 1.4 MHz channel BW. For special subframe (1 & 6) only 2 OFDM symbols are allocated to PDCCH for all bandwidths.Note 2:Reference signal, synchronization signals and PBCH allocated as defined in TS 36.211 [16].Note 3:If necessary the information bit payload size can be adjusted to facilitate the test implementation. The payload sizes are defined in TS 36.213 [3].Note 4:Allocation is located in the middle of bandwidth.Note 5:As per Table 4.2-2 in TS 36.211 [16]Note 6:As per Table 4.2-1 in TS 36.211 [16]Note 7:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit)Note 8:PDSCH allocation applies only to subframes not configured as PRS subframes.",,,,,,,
