Parameter,Unit,Value,Comment,
PDSCH parameters (E-UTRAN TDD),,DL Reference Measurement Channel R.0 TDD,As specified in clause A.3.1.1.2.,
PCFICH/PDCCH/PHICH parameters(E-UTRAN TDD),,DL Reference Measurement Channel R.6 TDD,As specified in clause A.3.1.2.2.,
Active,,Cell 1,Cell 1 is on E-UTRA RF channel number 1.,
Neighbour cell,,Cell 2,Cell 2 is on Absolute RF Channel Number 1 (GSM cell),
CP length,,Normal,Applicable to cell 1,
Special subframe configuration,,6,As specified in table 4.2.1 in TS 36.211. The same configuration applies to all cells.,
Uplink-downlink configuration,,1,,
E-UTRA RF Channel Number,,1,One E-UTRA TDD carrier frequency is used.,
E-UTRA Channel Bandwidth (BWchannel),MHz,10,,
DRX,,OFF,,
Monitored GSM cell list size,,6 GSM neighbour including ARFCN 1,GSM cells provided in the “RRCConnectionRelease” message.,
T1,s,5,,
T2,s,2,,
