Parameter,,Unit,Value,Comment
PDSCH parameters,,,DL Reference Measurement Channel R.1 HD-FDD,As specified in clause A.3.1.1.4
PCFICH/PDCCH/PHICH parameters,,,DL Reference Measurement Channel R.3 HD-FDD,As specified in clause A.3.1.2.3
Initial conditions,Active cell,,Cell 1,
,Neighbouring cell,,Cell 2,
Final condition,Active cell,,Cell 2,
E-UTRA RF Channel Number,,,1,Only one FDD carrier frequency is used.
Channel Bandwidth (BWchannel),,MHz,10,
A3-Offset,,dB,0,
Hysteresis,,dB,0,
Time To Trigger,,s,0,
Filter coefficient,,,0,L3 filtering is not used
DRX,,,,OFF
CP length,,,Normal,
Access Barring Information,,-,Not Sent,No additional delays in random access procedure.
PRACH configuration,,,4,As specified in table 5.7.1-2 in TS 36.211
Time offset between cells,,,3 ms,Asynchronous cells
T1,,s,5,
T2,,s,5,
T3,,s,1,
