Parameter,Unit,Value,
MPDCCH Reference channel,-,R.16 TDD,R.17 TDD
Carrier bandwidth,MHz,10,10
Number of transmitter antennas,-,1,2
DCI Format,-,6-1B,6-1B
Transmission Type,-,Distributed,Distributed
Number of PRB pairs per M-PDCCH set,-,6,6
Aggregation level,ECCE,24,24
Maximum number of repetitions,-,128,128
Frequency hopping,-,ON,ON
Number of narrowbands,-,2,2
MPDCCH Narrowband,-,7th,7th
Frequency HoppingOffset,narrowbands,7,7
MPDCCH start subframe,subframes,1,1
MPDCCH start symbol,symbols,2,2
Frequency hopping interval,subframes,20,20
Payload (without CRC),Bits,18,18
Cell ID,-,Note 1,Note 1
Note 1:Cell ID shall depend upon the test configuration.,,,
