,Unit,R.8 FDD
Bandwidth,MHz,10
Number of transmit antennas,,1
Allocated resource blocks(Note 4),,24
Allocated subframes per Radio Frame,,10
Modulation,,QPSK
Target coding rate,,1/3
Information Bit Payload,,
"For Sub-Frame 4, 9",,
Slot index 0,Bits,872
Slot index 1,Bits,1224
For Sub-Frame 5,,
Slot index 0,Bits,872
Slot index 1,Bits,1224
For Sub-Frame 0,,
Slot index 0,Bits,872
Slot index 1,Bits,1032
"For Sub-Frame 1, 2, 3, 6, 7, 8",,
Slot index 0,Bits,0
Slot index 1,Bits,0
Number of Code Blocks per slot (Note 5),,
"For Sub-Frame 4, 9",,
Slot index 0,,1
Slot index 1,,1
For Sub-Frame 5,,
Slot index 0,,1
Slot index 1,,1
For Sub-Frame 0,,
Slot index 0,,1
Slot index 1,,1
"For Sub-Frame 1, 2, 3, 6, 7, 8",,
Slot index 0,,0
Slot index 1,,0
Binary Channel Bits per slot,,
"For Sub-Frame 4, 9",Bits,
Slot index 0,Bits,2784
Slot index 1,Bits,3840
For Sub-Frame 5,Bits,
Slot index 0,Bits,2496
Slot index 1,Bits,3840
For Sub-Frame 0,Bits,
Slot index 0,Bits,2496
Slot index 1,Bits,3288
"For Sub-Frame 1, 2, 3, 6, 7, 8",Bits,
Slot index 0,Bits,0
Slot index 1,Bits,0
Max. Throughput averaged over 1 frame,kbps,819.2
"Note 1:2 symbols allocated to PDCCH for 10 MHz channel BW. 4 symbols allocated to PDCCH for 1.4 MHz channel BW. 3 OFDM symbols allocated to PDCCH for 5 MHz channel BW.Note 2:Reference signal, synchronization signals and PBCH allocated as defined in 3GPP TS 36.211 [16].Note 3:If necessary the information bit payload size can be adjusted to facilitate the test implementation. The payload sizes are defined in 3GPP TS 36.213 [3].Note 4:Allocation is located in the middle of bandwidth.Note 5:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit)Note 6:PDSCH allocation applies only to subframes not configured as PRS subframes.Note 7:Note SPDCCH is transmitted outside allocated resource blocks",,
