Parameter,Unit,Cell 1,,,
,,T1,T2,T3,T4
E-UTRA RF Channel number,,1,,,
BWchannel,MHz,10,,,
Correlation Matrix and Antenna Configuration,,1x2 Low,,,
OCNG Patterns defined in A.3.2.2.2 (OP.2 TDD),,OP.2 TDD,,,
PSS_RA,dB,0,,,
SSS_RA,dB,,,,
PCFICH_RB,dB,,,,
PHICH_RA,dB,,,,
PHICH_RB,dB,,,,
PDCCH_RA,dB,,,,
PDCCH_RB,dB,,,,
PDSCH_RA,dB,,,,
PDSCH_RB,dB,,,,
OCNG_RANote 1,dB,,,,
OCNG_RBNote 1,dB,,,,
Qrxlevmin for UTRA neighbour cell,dBm,-103,,,
Qrxlevmin,dBm,-140,,,
,dBm/15 kHz,-104,,,
RSRP,dBm/15 KHz,-82,-82,-107,-107
,dB,22,22,-3,-3
,dB,22,22,-3,-3
TreselectionEUTRAN,s,0,,,
Snonintrasearch,dB,Not sent,,,
"Threshserving, low",dB,44,,,
"Threshx, low  (Note 2)",dB,24,,,
Propagation Condition,,ETU70,,,
"Note 1: OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2: This refers to the value of Threshx, low  which is included in E-UTRA system information, and is a threshold for the UTRA target cell.",,,,,
